,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
accuracy,0.8798252002913328,0.858541717245286,0.8717326211863721,0.8704378085295784,0.8776402039329935,0.8771546491866958,0.8765881686493485,0.8753742817836044,0.8780448328882415,0.8778020555150926,0.877721129724043,0.8747268754552076,0.8793396455450352,0.8770737233956462,0.8783685360524399,0.8786922392166383,0.8801489034555313,0.8793396455450352,0.880634458201829,0.8805535324107793,0.8810390871570769,0.8796633487092337,0.8792587197539856,0.8800679776644816,0.8789350165897871,0.8790968681718864,0.8793396455450352,0.8782876102613904,0.8811200129481266,0.8804726066197297,0.8796633487092337,0.8802298292465809,0.8803916808286801,0.8784494618434895,0.8802298292465809,0.8792587197539856,0.8801489034555313,0.8807963097839281,0.8784494618434895,0.8794205713360848,0.8812009387391762,0.8802298292465809,0.8798252002913328,0.8788540907987376,0.8807963097839281,0.8816864934854738,0.879582422918184,0.8803916808286801,0.8803107550376305,0.8809581613660273,0.8798252002913328
f1,0.355188884064264,0.3297546012269939,0.25200566304860783,0.3376086057095573,0.3262032085561497,0.3680266444629475,0.31767337807606266,0.35130581297388375,0.3311140701287173,0.36233108108108114,0.3323022536456032,0.3395904436860068,0.341140079540433,0.35113199487398544,0.34338138925294887,0.36022193768672645,0.3461368653421634,0.36741620704285105,0.3561763422086425,0.3665236051502146,0.35863874345549734,0.35206971677559906,0.348471615720524,0.3650385604113111,0.34899912967798086,0.3549222797927461,0.345765686704695,0.3545064377682403,0.3654427645788337,0.35698737483674353,0.35375923511516727,0.3626184323858742,0.3590633130962706,0.3492201039861351,0.35201401050788095,0.34960767218831734,0.35468409586056643,0.3598435462842242,0.34865568083261056,0.3572044866264021,0.35726795096322245,0.3626184323858742,0.3523767989533362,0.35054229934924086,0.3576101177496729,0.36600173460537727,0.356401384083045,0.363479758828596,0.35499345835150453,0.3640293990488543,0.355188884064264
statistical_parity_difference,0.13509036625474982,0.14593830826707538,0.07802710987642494,0.14206660918989686,0.08737826100839799,0.13015933837851645,0.10785436025162054,0.16207730625538846,0.10635996423667657,0.14942283743653606,0.12854679567008337,0.11195756298496023,0.11539419484624965,0.1253592298112846,0.11981192323658077,0.12190503560366575,0.1020755500207555,0.13389532841587637,0.13608663026471246,0.11969617140850017,0.13929175846984065,0.11931379123159945,0.12959335185362583,0.14238113484688827,0.1190647252291088,0.14716368106779065,0.15023549509850878,0.13942507264425075,0.12751780183287031,0.11914774722993901,0.14183271066832712,0.13351294823897564,0.13484130025225916,0.13138710604464027,0.12022703324073188,0.11610866302647123,0.1258900916435163,0.125391959638535,0.13812945045821756,0.1174042852125044,0.1235151834466903,0.13351294823897564,0.13592058626305203,0.13821247245904777,0.12934428585113517,0.1282649998403423,0.13105501804131942,0.1302247980330172,0.12934428585113517,0.13097199604048917,0.13509036625474982
equal_opportunity_difference,0.1436427713876302,0.1281902327562836,0.053619147205762746,0.10269741683126138,0.09192130436466445,0.16104140041051856,0.10001549126679835,0.20722473955307696,0.11455791797374226,0.1428197978389683,0.14013787227450525,0.09616203865071066,0.10499206072576583,0.08659618140273417,0.11373494442508036,0.10628945432012704,0.10057704968823822,0.18155764687657333,0.1860597962898416,0.1442914681848108,0.16995856086131444,0.1751094070717633,0.1371073932070795,0.13113357344796867,0.09395453313194685,0.1838522907710778,0.18246775880097593,0.15459316060570855,0.14723480887649587,0.15680066612447235,0.15900817164323616,0.10702528949304829,0.16775105534255064,0.16195151233492122,0.107112427868789,0.14952945277100033,0.15900817164323616,0.1399635955230239,0.17658107741760581,0.11217613570349716,0.14437860656055146,0.14870647922233843,0.16121567716199992,0.18900313698152665,0.1706943960342357,0.16186437395918052,0.1414352658688664,0.1896518337787072,0.1451144417334727,0.16260020913210177,0.1436427713876302
average_abs_odds_difference,0.1174731492875557,0.12027824208990787,0.057103051208619277,0.10894307392475558,0.07070671625476027,0.11875344255466624,0.08765283488370926,0.15714352252827765,0.09059317971603681,0.12578327514118404,0.11388279681985015,0.0869688243736206,0.09244692445209199,0.09159627587633068,0.09809478689958517,0.09536772128829085,0.08176484266214173,0.1285305784670428,0.1327000510774763,0.10654921464830462,0.12907388226990832,0.1181887978839436,0.1121803965150349,0.11705979040058322,0.09032322532081502,0.13922865111932015,0.14163762325035328,0.1240376037233284,0.1128664456358231,0.11138702244197268,0.12732128367593087,0.10316774551197996,0.12529000312942268,0.12178195911952525,0.0954385913202978,0.10747067460858312,0.11677485352972342,0.10946478992296507,0.13130896611421533,0.09477562673601661,0.1100215533016882,0.11751203759490843,0.1243281188780463,0.13549493221393033,0.12285191668910114,0.11839011545879796,0.113923221110948,0.12936976802357958,0.11425243748153728,0.12054914576362605,0.1174731492875557
disparate_impact,1.1056941762124588,0.9553108660400378,0.9008290697061779,1.055078860961446,0.8676027732629017,1.0065622571821757,1.007628455658794,1.1799762598254453,0.9838178069650753,1.1259354630326932,1.103956556313918,0.9488664682447236,1.0297688679498624,1.0249389640556268,1.0342455519415257,1.004865653669687,0.9479189216425251,1.057680711111199,1.1207132319961741,1.0023105580605072,1.1364615889643133,1.026736129919394,1.087192130165665,1.1180228270990724,1.0230024603673453,1.156133980627915,1.202653996262808,1.106363296344483,1.0561915075597312,1.0242454686069424,1.1419280500667675,1.0823659237215504,1.1019743951099266,1.082268058169168,1.0405467700182547,1.009344387207525,1.0631345617936627,1.0556625469549616,1.1189611423292123,0.9984613514512278,1.0589062256841417,1.0823659237215504,1.1181943389766902,1.1202010680925327,1.0834209126225856,1.0672413437463162,1.0773479990437183,1.0651527259498998,1.0834209126225856,1.0761217573204738,1.1056941762124588
theil_index,0.10094122805912065,0.10659109832480684,0.11250962713073445,0.10419407308128523,0.10433869309349281,0.09982573339199471,0.1053829085467744,0.1019775068552522,0.10376782249027611,0.10040949730012334,0.1036975529979441,0.10337579151659672,0.10251772800975698,0.10176931017666067,0.10242898762434655,0.10053576404420661,0.101866805258179,0.09963685134535862,0.10071982340182349,0.09958627844022004,0.10039506224409603,0.10130365922920105,0.10175090457186083,0.09981563161704925,0.10174120038880732,0.10107174237022852,0.10202861480064176,0.10122866830699491,0.09963413295799561,0.10065424858920144,0.10112003454301069,0.10006590623928537,0.10043797349414832,0.10178720743251668,0.10122791435449048,0.10162843642821888,0.10095067305678894,0.10029681936419839,0.10184860118289916,0.10077552302678204,0.10052128227848,0.10006590623928538,0.10124716935773244,0.10158538939097055,0.1005410771534269,0.0994975550349811,0.10084194844047342,0.09994851320337039,0.1008941232555797,0.09981270850058595,0.10094122805912065
