,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
accuracy,0.894634620053411,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8881605567694424,0.8939062879339645,0.8939062879339645,0.8939062879339645,0.8939062879339645,0.894229991098163,0.894634620053411,0.894634620053411,0.894634620053411,0.894634620053411,0.894634620053411,0.894634620053411,0.894634620053411,0.894634620053411,0.894634620053411,0.894634620053411
f1,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1183591123066577,0.1183591123066577,0.1183591123066577,0.1183591123066577,0.12340710932260228,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132
statistical_parity_difference,0.02949767241505906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03057947319728424,0.03057947319728424,0.03057947319728424,0.03057947319728424,0.03024661141813803,0.02949767241505906,0.02949767241505906,0.02949767241505906,0.02949767241505906,0.02949767241505906,0.02949767241505906,0.02949767241505906,0.02949767241505906,0.02949767241505906,0.02949767241505906
equal_opportunity_difference,0.07542419266557197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08385331143951832,0.08385331143951832,0.08385331143951832,0.08385331143951832,0.08078817733990147,0.07542419266557197,0.07542419266557197,0.07542419266557197,0.07542419266557197,0.07542419266557197,0.07542419266557197,0.07542419266557197,0.07542419266557197,0.07542419266557197,0.07542419266557197
average_abs_odds_difference,0.04072087508771632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04502878772338255,0.04502878772338255,0.04502878772338255,0.04502878772338255,0.04349622067357412,0.04072087508771632,0.04072087508771632,0.04072087508771632,0.04072087508771632,0.04072087508771632,0.04072087508771632,0.04072087508771632,0.04072087508771632,0.04072087508771632,0.04072087508771632
disparate_impact,1.476120982605106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.608292755713589,1.608292755713589,1.608292755713589,1.608292755713589,1.5657331412947932,1.476120982605106,1.476120982605106,1.476120982605106,1.476120982605106,1.476120982605106,1.476120982605106,1.476120982605106,1.476120982605106,1.476120982605106,1.476120982605106
theil_index,0.11028285904995147,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11860274516081842,0.11120800873604189,0.11120800873604189,0.11120800873604189,0.11120800873604189,0.11084629546659731,0.11028285904995147,0.11028285904995147,0.11028285904995147,0.11028285904995147,0.11028285904995147,0.11028285904995147,0.11028285904995147,0.11028285904995147,0.11028285904995147,0.11028285904995147
