,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
accuracy,0.9146766169154229,0.885240464344942,0.885240464344942,0.885240464344942,0.885240464344942,0.885240464344942,0.885240464344942,0.8892205638474295,0.8957711442786069,0.8973466003316749,0.8975124378109453,0.9,0.9014925373134328,0.9023217247097844,0.9035655058043117,0.9047263681592039,0.9050580431177446,0.905223880597015,0.90530679933665,0.9079601990049752,0.9082089552238806,0.9083747927031509,0.9092039800995025,0.9092868988391376,0.9092868988391376,0.9100331674958541,0.9101160862354892,0.9106135986733002,0.9103648424543946,0.9108623548922057,0.9107794361525705,0.9111111111111111,0.9109452736318407,0.9113598673300166,0.9112769485903814,0.912106135986733,0.9117744610281924,0.912106135986733,0.9127694859038142,0.9130182421227198,0.9132669983416252,0.9131011608623549,0.9132669983416252,0.9132669983416252,0.9129353233830846,0.912603648424544,0.9126865671641791,0.9125207296849088,0.9125207296849088,0.9124378109452737,0.9130182421227198,0.912603648424544,0.9130182421227198,0.9131011608623549,0.9133499170812603,0.9138474295190713,0.9132669983416252,0.9132669983416252,0.9135157545605307,0.9137645107794361,0.9135157545605307,0.9135986733001659,0.9135157545605307,0.9135157545605307,0.9133499170812603,0.9134328358208955,0.9132669983416252,0.9134328358208955,0.9137645107794361,0.9139303482587064,0.914179104477612,0.914179104477612,0.9140961857379768,0.9138474295190713,0.9140132669983416,0.913681592039801,0.9139303482587064,0.9139303482587064,0.9140961857379768,0.9142620232172471,0.9137645107794361,0.9140961857379768,0.9139303482587064,0.9140132669983416,0.9140132669983416,0.9142620232172471,0.9142620232172471,0.914179104477612,0.9143449419568822,0.9142620232172471,0.9144278606965174,0.9145936981757877,0.9150082918739635,0.9151741293532338,0.915257048092869,0.9150912106135987,0.9154228855721394,0.9153399668325042,0.9155058043117744,0.915257048092869,0.9146766169154229
f1,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.07862068965517241,0.20593809222994316,0.2358024691358025,0.23985239852398524,0.28128724672228844,0.3060747663551402,0.32839224629418473,0.3563918096292197,0.3949447077409163,0.40333507034914023,0.41052088705518314,0.4191251271617497,0.46889952153110054,0.47159904534606195,0.4760550023707919,0.4970142397795131,0.4986251145737855,0.5045289855072463,0.5101580135440181,0.514336917562724,0.5191793041926851,0.528153644696639,0.5364381198792584,0.5389888603256213,0.5387263339070568,0.5378657487091221,0.5468418821534548,0.542343883661249,0.5493197278911564,0.5499153976311337,0.5477815699658704,0.5587248322147651,0.5597985732270249,0.5616093880972339,0.5611390284757118,0.5579036348267118,0.5645295587010825,0.5668316831683167,0.5641025641025641,0.5646961554361307,0.5663789560213728,0.567090685268773,0.5696821515892421,0.5730565730565732,0.570146818923328,0.575475515985431,0.5770782889426957,0.5777777777777778,0.5802020202020202,0.5785656728444803,0.575831305758313,0.5772192946899068,0.5792880258899676,0.5785858585858585,0.5794995964487489,0.5789261203068228,0.5796049979846836,0.579476861167002,0.580048270313757,0.5792437650844731,0.580048270313757,0.5823293172690763,0.5831325301204818,0.5845042151746287,0.5855026031237485,0.5852682145716572,0.584233693477391,0.5853658536585366,0.5844311377245509,0.5851318944844125,0.5844675740592473,0.5846030473135525,0.5847389558232932,0.581657280772325,0.5842696629213482,0.5838011226944667,0.5840352988367428,0.5837013247691689,0.5837359098228663,0.5837359098228663,0.5845042151746287,0.5856397914159646,0.5854049719326383,0.5865384615384616,0.5870088211708101,0.5885186672019269,0.5899799599198396,0.5908726981585269,0.590072057646117,0.5916733386709367,0.5911093311974369,0.591910292350821,0.5905448717948718,0.5882352941176471
statistical_parity_difference,0.15163187047294419,0.0,0.0,0.0,0.0,0.0,0.0,0.016510766608764053,0.0399606699223231,0.03996984694044771,0.03945855593064796,0.05083805840516536,0.051102880928189834,0.057010258595260724,0.06514240765625512,0.08259971813444332,0.09038182950411328,0.09183966438333716,0.09270099308446135,0.09162072695093573,0.09119465110943595,0.09632591524368261,0.1000176985349546,0.09959162269345481,0.11318671954377109,0.11259021336567139,0.12062797024024122,0.12293795680246469,0.1219245518009898,0.12586280357903706,0.12458457605453772,0.12543672773753728,0.12543672773753728,0.13826488807315396,0.12740585362656093,0.14202353249647667,0.13467667398643113,0.13321883910720722,0.13613450886565504,0.13305758578873195,0.13280194028383208,0.1357936481924552,0.14083052014027728,0.1377627740814788,0.1390501786241028,0.1363993313886795,0.13315197797515652,0.1319589656189571,0.13161810494575726,0.13333158532988104,0.1394002163154272,0.14298843040215004,0.1382072039592278,0.1376106977811281,0.13786634328602798,0.14102848153125103,0.13726983710792828,0.13547114155550458,0.13222378814198157,0.1412841270361509,0.14419061977647407,0.1439349742715742,0.14718232768509718,0.14051719052145129,0.1338520533578054,0.1337668381895054,0.1337668381895054,0.1337668381895054,0.13342597751630558,0.13658811576152863,0.13966503883845172,0.13915374782865197,0.13906853266035202,0.13898331749205206,0.13881288715545215,0.13847202648225232,0.1387276719871522,0.13906853266035202,0.1362472550883288,0.13658811576152863,0.1400911146799515,0.13957982367015176,0.13940939333355185,0.1394946085018518,0.13966503883845172,0.14026154501655141,0.14026154501655141,0.13966503883845172,0.1394946085018518,0.13940939333355185,0.13923896299695193,0.13940939333355185,0.13966503883845172,0.1393241781652519,0.13906853266035202,0.13906853266035202,0.13906853266035202,0.13915374782865197,0.13915374782865197,0.13923896299695193,0.15163187047294419
equal_opportunity_difference,0.05314709777366888,0.0,0.0,0.0,0.0,0.0,0.0,0.01348458725835603,0.05817778999358672,0.04801645802620291,0.044918084672213754,0.036214320814905526,0.027602175524516298,0.030517311744667402,0.05029026427792074,0.07840050640080626,0.10368723087045967,0.09516670414698952,0.08432239740802744,0.0354313985157792,0.03233302516179004,0.037663559964352056,0.042036264294578685,0.0397124842790868,0.041170052389162326,0.034973305681184064,0.051056528655789024,0.05638706345835104,0.050098698183453694,0.04845789293954006,0.04303573957005907,0.0453595195855509,0.04613411292404823,0.06522409068572332,0.050690054388112915,0.07597677885776633,0.049823842482696556,0.056020589190674874,0.06048491208782053,0.04818303723878292,0.045859257223291094,0.05738653873383137,0.07665975362934457,0.06271707353639333,0.06727301500045801,0.05961870018240417,0.04731682533336662,0.04266926530238291,0.0411200786253883,0.046450613427950316,0.0541049282460041,0.06950517644903098,0.04868277487652306,0.04558440152253396,0.04558440152253396,0.05478790301758252,0.04326062150704213,0.04945736821502045,0.03638090002748551,0.05633708969457707,0.05633708969457707,0.05478790301758252,0.055562496356079794,0.05401330967908524,0.03018415331950719,0.029409559981009914,0.03018415331950719,0.029409559981009914,0.02631118662702081,0.03706387479906381,0.04704196963260965,0.04471818961711771,0.04471818961711771,0.045492782955614985,0.043943596278620434,0.043943596278620434,0.043943596278620434,0.045492782955614985,0.04626737629411226,0.04704196963260965,0.05091493632509603,0.058569251143149925,0.04704196963260965,0.04704196963260965,0.0593438444816472,0.06089303115864175,0.06089303115864175,0.058569251143149925,0.05702006446615526,0.05702006446615526,0.05547087778916071,0.05547087778916071,0.054696284450663435,0.05237250443517161,0.050823317758176945,0.05159791109667433,0.05004872441967967,0.050823317758176945,0.05004872441967967,0.05159791109667433,0.05314709777366888
average_abs_odds_difference,0.06125440838048861,0.0,0.0,0.0,0.0,0.0,0.0,0.010717517813332586,0.03177151098485448,0.02625997560246476,0.024615040170203998,0.02634568046186447,0.02165661279560513,0.024551237654977423,0.03352810074657537,0.050122214663179974,0.062382581876941956,0.05989449590793526,0.05605302242065023,0.033811395186256324,0.03221433413162865,0.03679540205853731,0.037593397272290996,0.03633575850927887,0.045254362820791226,0.04220386384443518,0.052065527102099135,0.05463504574811397,0.05024612929220493,0.051102155307710305,0.04800808360190509,0.04950509425308264,0.04984451654469821,0.0630774833438918,0.051883115388565104,0.06883682245097801,0.0553773592423784,0.05684717833653846,0.058313349742981836,0.052258161073729215,0.0510962710659833,0.05676416306598726,0.06697526304534095,0.05914218420146969,0.060797788024271854,0.05701850499287802,0.050867567568359244,0.048160792531802665,0.04729045043803918,0.04952484844062237,0.05565080139634164,0.06335092549785508,0.05260460406816948,0.050911794258275654,0.05105541739117493,0.05580079127159848,0.04970202987289665,0.050980351456524346,0.044489991740389964,0.056623258987728846,0.05868268264625577,0.0578602149301254,0.06045055839080024,0.055174122714184384,0.04311592140149609,0.04272862473224745,0.043068047023863,0.04272862473224745,0.0411794380552529,0.046603656518907494,0.0516405783133135,0.05033506517266826,0.05028719079503517,0.05057873870901762,0.049804145370520345,0.049612647859987986,0.04975627099288726,0.050626613086650715,0.048954486097372435,0.0494854058995204,0.05357706165955669,0.05515329789952436,0.05149695518041423,0.05154482955804732,0.055540594568773,0.05655455979543572,0.05655455979543572,0.05520117227715745,0.05442657893866012,0.05437870456102703,0.053604111222529754,0.05369985997779593,0.05350406081907966,0.05229429643370065,0.05147182871757023,0.051811251009185835,0.05113240642595468,0.05151970309520332,0.051180280803587774,0.05190699976445201,0.06125440838048861
disparate_impact,0.9991275444154508,,,,,,,1.4548786311049804,1.2783806525857255,1.1510475515813672,1.123773133661708,1.1661377973049574,1.091648945314218,1.0838996990679852,1.0835342687697471,1.1120705760346816,1.1492273251566407,1.134325969669943,1.1071703212168416,0.9685020055379602,0.960931946677415,0.9838162405110027,0.9501476533092929,0.9434136211279487,1.0057667667612145,0.9966698879143838,1.0291515417112944,1.034041125156095,0.9914881577509619,0.9923999842023942,0.9753055508430941,0.9866693094934091,0.9866693094934091,1.0270662243048194,0.987188924989642,1.0501299409379057,1.0060695332926874,1.0125474985514835,0.9998165818574437,0.9854278444053441,0.9822072297053019,0.9955247297759028,1.0346429057367434,0.9958867098106234,0.9879399576948649,0.9791323911985763,0.9628730666657597,0.9484695254742351,0.9443920478575789,0.9424310243481484,0.9692100881216406,0.9888338125029822,0.9553071829526489,0.948427548939112,0.9513701699933094,0.9659586231109962,0.9445174755312691,0.9454664351361365,0.929501953149291,0.9689128350084276,0.9803654113532697,0.9774170062689721,0.9926268701931575,0.9600762532079298,0.9268293091373923,0.9258579637477603,0.9258579637477603,0.9258579637477603,0.9219819899030672,0.9367428979841389,0.9503485500399176,0.9445570280603287,0.9435950270241379,0.9426339505445873,0.9407145641587836,0.9368868082890193,0.9397562507169721,0.9435950270241379,0.9328781588742501,0.9367428979841389,0.9552005731444457,0.9493809640911817,0.9474485963401277,0.9484143134600868,0.9503485500399176,0.9571479934288414,0.9571479934288414,0.9503485500399176,0.9484143134600868,0.9474485963401277,0.9455199554337222,0.9474485963401277,0.9503485500399176,0.9464838109300289,0.9435950270241379,0.9435950270241379,0.9435950270241379,0.9445570280603287,0.9445570280603287,0.9455199554337222,0.9991275444154508
theil_index,0.06723511645953306,0.12189595975676172,0.12189595975676172,0.12189595975676172,0.12189595975676172,0.12189595975676172,0.12189595975676172,0.11689438271002606,0.10801672669213667,0.10574802992029338,0.10544913248725099,0.10205945875711049,0.09995009086065819,0.09811697839435371,0.09565434340301517,0.09212692300749609,0.09129966778593138,0.09059561666974046,0.08974876629223573,0.0841692003328233,0.08384019844036303,0.08330860527595717,0.08070648619394152,0.08049899088234184,0.07973329457496636,0.07898473045449296,0.07842355551955918,0.0777679841125023,0.07650011227261581,0.07531187513152159,0.07492654146934585,0.07498459938323525,0.07510394290605893,0.07376723163342339,0.07445017967460259,0.07343937155449853,0.07332133269865153,0.07367646019136133,0.07201464072358457,0.0718662059789224,0.07159915247141527,0.07165853552687303,0.07219172016775592,0.0711244485252734,0.07070744699344672,0.07112271438234273,0.07103376259359495,0.07073513880065468,0.07061591716621915,0.07016784727341624,0.06966530824558442,0.07010950376383815,0.06924757239912319,0.06897965514702724,0.0688925176193278,0.06853908147728993,0.06874244240738783,0.06921995900536833,0.06901329206839765,0.06868742854137787,0.06877470557198183,0.06862630909066703,0.06871503740717454,0.06859567529380767,0.06859399087562008,0.06850527541197024,0.06862297742938575,0.06850527541197024,0.06815049209588386,0.06803283003841315,0.06782651175110294,0.06764751564515192,0.06767646659784442,0.06782297769315189,0.06764569453862933,0.06776127210913446,0.06767460706414558,0.06779404881676891,0.06779583437480595,0.06779750592347172,0.0682698713771392,0.06785550545384589,0.06791345649945552,0.0678844870353979,0.0679441638228266,0.06797638215049097,0.06797638215049097,0.06782651175110295,0.06764922282477084,0.06767821225015637,0.06750095041625814,0.06744296800085721,0.06723825139248463,0.06700151668428035,0.06685339106537289,0.06697097328429738,0.06673580884644838,0.06682437029543277,0.06670677810261574,0.06691293957424935,0.06723511645953306
