,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
accuracy,0.7528735632183908,0.7442528735632183,0.7446120689655172,0.7431752873563219,0.7474856321839081,0.7474856321839081,0.7474856321839081,0.7474856321839081,0.7474856321839081,0.7474856321839081,0.7492816091954023,0.7514367816091954,0.7510775862068966,0.7507183908045977,0.7456896551724138,0.7456896551724138,0.7460488505747126,0.7460488505747126,0.7464080459770115,0.7464080459770115,0.7460488505747126,0.7460488505747126,0.7460488505747126,0.7460488505747126,0.7471264367816092,0.7467672413793104,0.7471264367816092,0.7471264367816092,0.7471264367816092,0.7471264367816092,0.7471264367816092,0.7471264367816092,0.7464080459770115,0.7471264367816092,0.7467672413793104,0.7467672413793104,0.7467672413793104,0.7467672413793104,0.7474856321839081,0.7474856321839081,0.7467672413793104,0.7474856321839081,0.7478448275862069,0.7478448275862069,0.7474856321839081,0.75,0.75,0.75,0.75,0.7492816091954023,0.7496408045977011,0.7507183908045977,0.7503591954022989,0.7507183908045977,0.7507183908045977,0.7510775862068966,0.75,0.75,0.7503591954022989,0.7510775862068966,0.7503591954022989,0.7507183908045977,0.7510775862068966,0.7507183908045977,0.7507183908045977,0.7510775862068966,0.7507183908045977,0.7507183908045977,0.7507183908045977,0.7507183908045977,0.7507183908045977,0.7507183908045977,0.7507183908045977,0.7507183908045977,0.7503591954022989,0.7503591954022989,0.7503591954022989,0.7503591954022989,0.75,0.75,0.7510775862068966,0.7514367816091954,0.7514367816091954,0.7521551724137931,0.7521551724137931,0.7517959770114943,0.7514367816091954,0.7521551724137931,0.7521551724137931,0.7525143678160919,0.7528735632183908,0.7521551724137931,0.7528735632183908,0.7528735632183908,0.7525143678160919,0.7521551724137931,0.7525143678160919,0.7521551724137931,0.7525143678160919,0.7525143678160919,0.7528735632183908
f1,0.7225806451612903,0.6970212765957448,0.6978325541861453,0.6989473684210527,0.7067167292448894,0.7067167292448894,0.7067167292448894,0.7067167292448894,0.7067167292448894,0.7067167292448894,0.7098919368246052,0.7133388566694284,0.7125673994193281,0.711074104912573,0.7156626506024096,0.7156626506024096,0.7159501807955002,0.7159501807955002,0.7162379421221864,0.7162379421221864,0.7159501807955002,0.7159501807955002,0.7159501807955002,0.7159501807955002,0.7168141592920353,0.716069271043093,0.7168141592920353,0.7168141592920353,0.7168141592920353,0.7168141592920353,0.7168141592920353,0.7168141592920353,0.7157809983896941,0.7168141592920353,0.716069271043093,0.716069271043093,0.716069271043093,0.716069271043093,0.7171026156941649,0.7168747482883607,0.7158403869407497,0.7168747482883607,0.717163577759871,0.717391304347826,0.7168747482883607,0.7193548387096774,0.7193548387096774,0.7193548387096774,0.7193548387096774,0.7187751813053989,0.7190648931882305,0.719482619240097,0.7191919191919192,0.719482619240097,0.719482619240097,0.7197735543873838,0.7193548387096774,0.7193548387096774,0.7187373532982597,0.7197735543873838,0.7187373532982597,0.719482619240097,0.7197735543873838,0.719482619240097,0.719482619240097,0.7197735543873838,0.719482619240097,0.719482619240097,0.719482619240097,0.719482619240097,0.719482619240097,0.719482619240097,0.719482619240097,0.719482619240097,0.7189648200566116,0.7189648200566116,0.7189648200566116,0.7189648200566116,0.7186742118027487,0.7186742118027487,0.7204517950786606,0.7207425343018564,0.7207425343018564,0.7213247172859452,0.7213247172859452,0.7210335082761405,0.7202910266774454,0.7213247172859452,0.7213247172859452,0.7220653489310205,0.7225806451612903,0.7215496368038741,0.7225806451612903,0.7225806451612903,0.7222893994357114,0.7219983883964545,0.7222893994357114,0.7217741935483871,0.7220653489310205,0.7222893994357114,0.7225806451612903
statistical_parity_difference,0.30997001499250376,0.3137181409295352,0.31259370314842577,0.3043478260869565,0.3050974512743629,0.3050974512743629,0.3050974512743629,0.3050974512743629,0.3050974512743629,0.3050974512743629,0.30172413793103453,0.3077211394302849,0.30884557721139433,0.31221889055472263,0.33320839580209893,0.33320839580209893,0.3335832083958021,0.3335832083958021,0.3249625187406297,0.3249625187406297,0.32458770614692656,0.3335832083958021,0.3335832083958021,0.3335832083958021,0.32571214392803605,0.3268365817091455,0.32571214392803605,0.32571214392803605,0.32571214392803605,0.32571214392803605,0.32571214392803605,0.32571214392803605,0.32646176911544234,0.32571214392803605,0.3268365817091455,0.3268365817091455,0.3268365817091455,0.3268365817091455,0.3260869565217392,0.3268365817091455,0.32758620689655177,0.3268365817091455,0.3272113943028486,0.32646176911544234,0.3268365817091455,0.3279610194902549,0.3279610194902549,0.3279610194902549,0.3279610194902549,0.3272113943028486,0.32758620689655177,0.31221889055472263,0.320839580209895,0.31221889055472263,0.31221889055472263,0.31259370314842577,0.3279610194902549,0.3279610194902549,0.3133433283358321,0.31259370314842577,0.3133433283358321,0.31221889055472263,0.31259370314842577,0.31221889055472263,0.31221889055472263,0.31259370314842577,0.31221889055472263,0.31221889055472263,0.31221889055472263,0.31221889055472263,0.31221889055472263,0.31221889055472263,0.31221889055472263,0.31221889055472263,0.31259370314842577,0.31259370314842577,0.31259370314842577,0.31259370314842577,0.31221889055472263,0.31221889055472263,0.3103448275862069,0.31071964017991005,0.31071964017991005,0.31146926536731634,0.31146926536731634,0.3110944527736132,0.31221889055472263,0.31146926536731634,0.31146926536731634,0.3103448275862069,0.30997001499250376,0.31071964017991005,0.30997001499250376,0.30997001499250376,0.3095952023988006,0.3092203898050975,0.3095952023988006,0.30997001499250376,0.3103448275862069,0.3095952023988006,0.30997001499250376
equal_opportunity_difference,0.20230139003958392,0.21236306729264476,0.2107981220657278,0.20375586854460104,0.2030010126116174,0.2030010126116174,0.2030010126116174,0.2030010126116174,0.2030010126116174,0.2030010126116174,0.19752370431740773,0.2045935745190094,0.20615851974592647,0.21007088281321917,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.22032587682960503,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.21876093160268795,0.22032587682960503,0.21876093160268795,0.22032587682960503,0.22032587682960503,0.22032587682960503,0.22032587682960503,0.21876093160268795,0.2195434042161465,0.22110834944306357,0.2195434042161465,0.2195434042161465,0.21876093160268795,0.2195434042161465,0.2179784589892294,0.2179784589892294,0.2179784589892294,0.2179784589892294,0.2179784589892294,0.2179784589892294,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.2179784589892294,0.2179784589892294,0.20856117094725213,0.20699622572033505,0.20856117094725213,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.20699622572033505,0.2077786983337936,0.2077786983337936,0.2077786983337936,0.2077786983337936,0.2077786983337936,0.2077786983337936,0.20464880787995954,0.20464880787995954,0.20464880787995954,0.20464880787995954,0.20464880787995954,0.20464880787995954,0.2062137531068765,0.20464880787995954,0.20464880787995954,0.20308386265304246,0.20230139003958392,0.203866335266501,0.20230139003958392,0.20230139003958392,0.20230139003958392,0.20230139003958392,0.20230139003958392,0.20308386265304246,0.20308386265304246,0.20230139003958392,0.20230139003958392
average_abs_odds_difference,0.1700529925366172,0.17765983487630613,0.1765176500326318,0.1683202642792627,0.16614427516169172,0.16614427516169172,0.16614427516169172,0.16614427516169172,0.16614427516169172,0.16614427516169172,0.16268619655415523,0.16586141942474025,0.1670036042684146,0.17039863472292427,0.2058645688414925,0.2058645688414925,0.20622428107170834,0.20622428107170834,0.1900952488136438,0.1900952488136438,0.18973553658342798,0.20622428107170834,0.20622428107170834,0.20622428107170834,0.19081467327407547,0.19195685811774982,0.19081467327407547,0.19081467327407547,0.19081467327407547,0.19081467327407547,0.19081467327407547,0.19081467327407547,0.19159714588753401,0.19081467327407547,0.19195685811774982,0.19195685811774982,0.19195685811774982,0.19195685811774982,0.19117438550429128,0.1919253340412364,0.19270780665469495,0.1919253340412364,0.1922850462714522,0.19153409773450714,0.1919253340412364,0.192941422578857,0.192941422578857,0.192941422578857,0.192941422578857,0.19222199811842533,0.19258171034864116,0.17240041037699277,0.18852944263505728,0.17240041037699277,0.17240041037699277,0.1727601226072086,0.192941422578857,0.192941422578857,0.17354259522066715,0.1727601226072086,0.17354259522066715,0.17240041037699277,0.1727601226072086,0.17240041037699277,0.17240041037699277,0.1727601226072086,0.17240041037699277,0.17240041037699277,0.17240041037699277,0.17240041037699277,0.17240041037699277,0.17240041037699277,0.17240041037699277,0.17240041037699277,0.17279164668372204,0.17279164668372204,0.17279164668372204,0.17279164668372204,0.17243193445350624,0.17243193445350624,0.17050727699637336,0.17086698922658922,0.17086698922658922,0.17158641368702085,0.17158641368702085,0.17122670145680502,0.17236888630047933,0.17158641368702085,0.17158641368702085,0.17044422884334648,0.1700529925366172,0.17083546515007575,0.1700529925366172,0.1700529925366172,0.1696932803064014,0.16933356807618555,0.1696932803064014,0.17008451661313068,0.17044422884334648,0.1696932803064014,0.1700529925366172
disparate_impact,0.5868209477821601,0.6516846589555224,0.6483969847613308,0.6246120797378886,0.6154962463298794,0.6154962463298794,0.6154962463298794,0.6154962463298794,0.6154962463298794,0.6154962463298794,0.6061358035703156,0.6118189604327364,0.614906971121313,0.6242286336484489,0.6164545597716908,0.6164545597716908,0.6174137924591511,0.6174137924591511,0.6054376014124353,0.6054376014124353,0.6044783687249752,0.6174137924591511,0.6174137924591511,0.6174137924591511,0.6073588315903293,0.6102476154962204,0.6073588315903293,0.6073588315903293,0.6073588315903293,0.6073588315903293,0.6073588315903293,0.6073588315903293,0.6092837599999138,0.6073588315903293,0.6102476154962204,0.6102476154962204,0.6102476154962204,0.6102476154962204,0.6083208326265204,0.6102476154962204,0.6121781180262782,0.6102476154962204,0.6112124009063192,0.6092837599999138,0.6102476154962204,0.6131447686573732,0.6131447686573732,0.6131447686573732,0.6131447686573732,0.6112124009063192,0.6121781180262782,0.592629289377907,0.6048993819697213,0.592629289377907,0.592629289377907,0.5936006347675388,0.6131447686573732,0.6131447686573732,0.5955461606730302,0.5936006347675388,0.5955461606730302,0.592629289377907,0.5936006347675388,0.592629289377907,0.592629289377907,0.5936006347675388,0.592629289377907,0.592629289377907,0.592629289377907,0.592629289377907,0.592629289377907,0.592629289377907,0.592629289377907,0.592629289377907,0.5936006347675388,0.5936006347675388,0.5936006347675388,0.5936006347675388,0.592629289377907,0.592629289377907,0.5877866649021191,0.5887533155332141,0.5887533155332141,0.5906894245600803,0.5906894245600803,0.5897209014819499,0.592629289377907,0.5906894245600803,0.5906894245600803,0.5877866649021191,0.5868209477821601,0.5887533155332141,0.5868209477821601,0.5868209477821601,0.5858561623720612,0.5848923068757546,0.5858561623720612,0.5868209477821601,0.5877866649021191,0.5858561623720612,0.5868209477821601
theil_index,0.2132259483602357,0.24181042626652127,0.24101999562870177,0.2384651064241046,0.2313575191195466,0.2313575191195466,0.2313575191195466,0.2313575191195466,0.2313575191195466,0.2313575191195466,0.2284377756368006,0.2254129539336783,0.22619527056666797,0.22798123675846277,0.2169808953526387,0.2169808953526387,0.21687956448159623,0.21687956448159623,0.21677799980045187,0.21677799980045187,0.21687956448159623,0.21687956448159623,0.21687956448159623,0.21687956448159623,0.21657416766246362,0.2173577982359545,0.21657416766246362,0.21657416766246362,0.21657416766246362,0.21657416766246362,0.21657416766246362,0.21657416766246362,0.21746010777722197,0.21657416766246362,0.2173577982359545,0.2173577982359545,0.2173577982359545,0.2173577982359545,0.21647189953148083,0.2168122278459034,0.21769847246234347,0.2168122278459034,0.21670946801513552,0.21636939624211582,0.2168122278459034,0.21541080944947114,0.21541080944947114,0.21541080944947114,0.21541080944947114,0.215617897652049,0.2155144718934268,0.21587886449652147,0.21598352193373083,0.21587886449652147,0.21587886449652147,0.21577396831589352,0.21541080944947114,0.21541080944947114,0.21665977654250088,0.21577396831589352,0.21665977654250088,0.21587886449652147,0.21577396831589352,0.21587886449652147,0.21587886449652147,0.21577396831589352,0.21587886449652147,0.21587886449652147,0.21587886449652147,0.21587886449652147,0.21587886449652147,0.21587886449652147,0.21587886449652147,0.21587886449652147,0.21632169425865128,0.21632169425865128,0.21632169425865128,0.21632169425865128,0.21642637411781687,0.21642637411781687,0.21476047940715118,0.21465612709932932,0.21465612709932932,0.21444670849997258,0.21444670849997258,0.21455153691127352,0.2153313548752261,0.21444670849997258,0.21444670849997258,0.21366761826318598,0.2132259483602357,0.21410948105787825,0.2132259483602357,0.2132259483602357,0.2133304713245101,0.2134347569258759,0.2133304713245101,0.21377216363254456,0.21366761826318598,0.2133304713245101,0.2132259483602357
