,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17
accuracy,0.8283582089552238,0.8134328358208955,0.8171641791044776,0.8134328358208955,0.832089552238806,0.8097014925373134,0.832089552238806,0.8246268656716418,0.832089552238806,0.835820895522388,0.8171641791044776,0.8395522388059702,0.8171641791044776,0.8208955223880597,0.8171641791044776,0.8171641791044776,0.832089552238806,0.832089552238806,0.8283582089552238
f1,0.7578947368421053,0.7126436781609194,0.7434554973821991,0.7159090909090908,0.742857142857143,0.7329842931937173,0.766839378238342,0.7486631016042781,0.7513812154696133,0.7634408602150536,0.7351351351351351,0.7675675675675676,0.7461139896373058,0.7391304347826088,0.7434554973821991,0.7379679144385027,0.7619047619047619,0.7593582887700534,0.7578947368421053
statistical_parity_difference,-0.8305555555555556,-0.6487373737373738,-0.8926767676767676,-0.6545454545454545,-0.6431818181818182,-0.8757575757575757,-0.8984848484848484,-0.8472222222222222,-0.8128787878787879,-0.7681818181818182,-0.8244949494949495,-0.8583333333333333,-0.8646464646464647,-0.830050505050505,-0.8926767676767676,-0.8472222222222222,-0.853030303030303,-0.8472222222222222,-0.8305555555555556
equal_opportunity_difference,-0.7790404040404041,-0.6843434343434344,-0.8535353535353535,-0.7424242424242424,-0.6818181818181819,-0.7954545454545454,-0.851010101010101,-0.8838383838383839,-0.856060606060606,-0.720959595959596,-0.856060606060606,-0.8977272727272727,-0.8232323232323232,-0.856060606060606,-0.8535353535353535,-0.8257575757575757,-0.8232323232323232,-0.8535353535353535,-0.7790404040404041
average_abs_odds_difference,0.691816120387549,0.4223162749948464,0.8262149556792413,0.41330395794681507,0.3585536487322202,0.8284245516388373,0.7937023294166151,0.7129651102865389,0.6433789424860853,0.5690257163471449,0.6990762213976499,0.6954622758194187,0.7730107194392908,0.7024775819418676,0.8262149556792413,0.7498260667903525,0.7173134405277262,0.7012149556792413,0.691816120387549
disparate_impact,-2.979983916585852,-2.747052358905479,-3.500631278650342,-2.645529844120876,-2.629269323249096,-3.3058872018578307,-3.330579814448202,-3.4499875458315876,-3.9074671888922854,-2.7950615780918397,-3.423670237514214,-3.960813169597578,-3.0182051294060495,-3.6468137888284238,-3.500631278650342,-3.4499875458315876,-3.2805693938735407,-3.4499875458315876,-2.979983916585852
theil_index,0.15022689037232034,0.18607745594730207,0.15704579254734738,0.18306054416580123,0.1696973329777718,0.16261323978076062,0.14285723283595902,0.15762890193934884,0.16092658711055577,0.15063409788650292,0.16638451796635226,0.14926977276734124,0.15390340304408567,0.16506263440507427,0.15704579254734735,0.16328724627045046,0.14894897721663933,0.15197055760824726,0.15022689037232034
