,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149
accuracy,0.7266666666666667,0.69,0.6766666666666666,0.6766666666666666,0.6766666666666666,0.69,0.69,0.69,0.7133333333333334,0.7066666666666667,0.6933333333333334,0.71,0.7266666666666667,0.7266666666666667,0.7233333333333334,0.74,0.7433333333333333,0.75,0.7466666666666667,0.73,0.74,0.7466666666666667,0.7266666666666667,0.7266666666666667,0.72,0.7166666666666667,0.7333333333333333,0.7266666666666667,0.73,0.73,0.7466666666666667,0.74,0.75,0.7533333333333333,0.74,0.7366666666666667,0.7333333333333333,0.74,0.74,0.74,0.74,0.74,0.7366666666666667,0.74,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7333333333333333,0.7366666666666667,0.7366666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7366666666666667,0.7366666666666667,0.7366666666666667,0.7366666666666667,0.7366666666666667,0.7266666666666667,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7466666666666667,0.7433333333333333,0.74,0.7366666666666667,0.74,0.7366666666666667,0.74,0.7366666666666667,0.74,0.7366666666666667,0.74,0.7366666666666667,0.7333333333333333,0.7366666666666667,0.7366666666666667,0.7333333333333333,0.74,0.7333333333333333,0.7433333333333333,0.7366666666666667,0.7433333333333333,0.7366666666666667,0.7433333333333333,0.7366666666666667,0.7433333333333333,0.7366666666666667,0.7433333333333333,0.7333333333333333,0.7333333333333333,0.7366666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7366666666666667,0.7366666666666667,0.73,0.7366666666666667,0.73,0.73,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7333333333333333,0.7333333333333333,0.7366666666666667,0.7233333333333334,0.7366666666666667,0.7233333333333334,0.74,0.7266666666666667,0.74,0.72,0.7333333333333333,0.7233333333333334,0.7333333333333333,0.73,0.7266666666666667,0.7333333333333333,0.73,0.7366666666666667,0.73,0.7366666666666667,0.73,0.7366666666666667,0.7266666666666667,0.7366666666666667,0.7266666666666667,0.7266666666666667,0.73,0.7266666666666667,0.7266666666666667
f1,0.4675324675324675,0.0,0.3120567375886525,0.29197080291970806,0.29197080291970806,0.2900763358778626,0.2900763358778626,0.2900763358778626,0.44871794871794873,0.3529411764705882,0.352112676056338,0.41610738255033564,0.4225352112676057,0.4225352112676057,0.43537414965986393,0.4090909090909091,0.4210526315789474,0.4444444444444444,0.4328358208955224,0.4087591240875912,0.4507042253521127,0.44927536231884063,0.4305555555555555,0.4305555555555555,0.4246575342465753,0.41379310344827586,0.452054794520548,0.4605263157894737,0.4563758389261745,0.47058823529411764,0.5064935064935064,0.48684210526315785,0.5033112582781456,0.5194805194805195,0.48000000000000004,0.4768211920529801,0.47368421052631576,0.49350649350649345,0.5063291139240506,0.5,0.5063291139240506,0.5,0.4968152866242038,0.5,0.503225806451613,0.5095541401273884,0.503225806451613,0.48051948051948046,0.4903225806451614,0.4903225806451614,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48051948051948046,0.48717948717948717,0.4774193548387096,0.4774193548387096,0.4774193548387096,0.4774193548387096,0.4774193548387096,0.4774193548387096,0.4774193548387096,0.4774193548387096,0.4774193548387096,0.4774193548387096,0.4768211920529801,0.4768211920529801,0.4768211920529801,0.4768211920529801,0.4768211920529801,0.4675324675324675,0.503225806451613,0.503225806451613,0.503225806451613,0.5128205128205128,0.503225806451613,0.5,0.4968152866242038,0.5,0.4968152866242038,0.5,0.4968152866242038,0.5,0.4968152866242038,0.5,0.4968152866242038,0.48717948717948717,0.4968152866242038,0.4968152866242038,0.48717948717948717,0.5,0.49367088607594933,0.503225806451613,0.4968152866242038,0.503225806451613,0.4968152866242038,0.503225806451613,0.4968152866242038,0.5095541401273884,0.4903225806451614,0.5095541401273884,0.48717948717948717,0.48717948717948717,0.4968152866242038,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.4903225806451614,0.4903225806451614,0.47058823529411764,0.4903225806451614,0.47058823529411764,0.47058823529411764,0.4605263157894737,0.4605263157894737,0.4605263157894737,0.4605263157894737,0.4605263157894737,0.4605263157894737,0.4605263157894737,0.4605263157894737,0.4666666666666667,0.4666666666666667,0.4768211920529801,0.4575163398692811,0.4768211920529801,0.4575163398692811,0.48000000000000004,0.4605263157894737,0.48000000000000004,0.4473684210526316,0.47368421052631576,0.4575163398692811,0.47368421052631576,0.46357615894039733,0.4605263157894737,0.4666666666666667,0.47058823529411764,0.4768211920529801,0.47058823529411764,0.4768211920529801,0.46357615894039733,0.4768211920529801,0.4675324675324675,0.4903225806451614,0.4675324675324675,0.4675324675324675,0.47058823529411764,0.4675324675324675,0.4675324675324675
statistical_parity_difference,-0.1340238708659761,0.0,0.00883327199116668,0.005468215994531733,0.005468215994531733,-0.007466217992533775,-0.007466217992533775,-0.007466217992533775,-0.07713339292286658,-0.04663757295336246,-0.08102423891897581,-0.04753141595246857,-0.08102423891897581,-0.08102423891897581,-0.08864819391135181,-0.08155002891844998,-0.09253903990746093,-0.09874336190125665,-0.05620695094379313,-0.041852883958147125,-0.08102423891897581,-0.06861559493138436,-0.07145486092854514,-0.07145486092854514,-0.06188548293811447,-0.0666701719333298,-0.1565276828434723,-0.1278195488721804,-0.1421736158578264,-0.17035595982964402,-0.1497975708502024,-0.14359324885640667,-0.1641516378358484,-0.1497975708502024,-0.15316262684683735,-0.148377937851622,-0.14359324885640667,-0.1340238708659761,-0.13065881486934117,-0.12445449287554544,-0.13065881486934117,-0.12445449287554544,-0.1354435038645565,-0.14022819285977184,-0.14501288185498717,-0.1354435038645565,-0.16078658183921335,-0.1497975708502024,-0.16078658183921335,-0.14501288185498717,-0.15600189284399812,-0.15600189284399812,-0.15600189284399812,-0.1497975708502024,-0.15600189284399812,-0.16078658183921335,-0.14501288185498717,-0.16078658183921335,-0.16078658183921335,-0.16078658183921335,-0.16078658183921335,-0.16078658183921335,-0.16078658183921335,-0.16078658183921335,-0.16078658183921335,-0.11683053788316944,-0.11683053788316944,-0.11683053788316944,-0.11683053788316944,-0.11683053788316944,-0.1497975708502024,-0.14501288185498717,-0.14501288185498717,-0.14501288185498717,-0.10868079289131916,-0.14501288185498717,-0.10868079289131916,-0.1512172038487828,-0.10868079289131916,-0.1512172038487828,-0.10868079289131916,-0.1512172038487828,-0.10868079289131916,-0.1512172038487828,-0.10868079289131916,-0.1354435038645565,-0.12445449287554544,-0.1354435038645565,-0.1354435038645565,-0.14022819285977184,-0.10868079289131916,-0.14643251485356745,-0.11346548188653449,-0.1354435038645565,-0.11346548188653449,-0.1512172038487828,-0.11346548188653449,-0.1512172038487828,-0.10389610389610393,-0.14501288185498717,-0.10389610389610393,-0.14022819285977184,-0.14022819285977184,-0.1354435038645565,-0.14022819285977184,-0.14022819285977184,-0.14022819285977184,-0.14022819285977184,-0.12923918187076078,-0.12923918187076078,-0.12303485987696516,-0.12923918187076078,-0.12303485987696516,-0.12303485987696516,-0.11204584888795421,-0.11204584888795421,-0.11204584888795421,-0.11204584888795421,-0.11204584888795421,-0.11204584888795421,-0.11204584888795421,-0.11204584888795421,-0.12161522687838477,-0.12161522687838477,-0.11683053788316944,-0.13880855986119134,-0.11683053788316944,-0.13880855986119134,-0.12161522687838477,-0.1278195488721804,-0.12161522687838477,-0.14359324885640667,-0.1278195488721804,-0.13880855986119134,-0.1278195488721804,-0.13260423786739572,-0.14359324885640667,-0.13738892686261106,-0.13880855986119134,-0.13260423786739572,-0.13880855986119134,-0.13260423786739572,-0.13260423786739572,-0.13260423786739572,-0.1340238708659761,-0.12923918187076078,-0.1340238708659761,-0.1340238708659761,-0.13880855986119134,-0.1340238708659761,-0.1340238708659761
equal_opportunity_difference,-0.03703703703703698,0.0,-0.005446623093681935,-0.01851851851851849,-0.01851851851851849,-0.02614379084967322,-0.02614379084967322,-0.02614379084967322,-0.06753812636165579,-0.07625272331154687,-0.04357298474945537,0.013071895424836555,-0.02614379084967322,-0.02614379084967322,-0.0065359477124183885,-0.02178649237472763,-0.02178649237472763,-0.02178649237472763,-0.02178649237472763,-0.020697167755991286,-0.03921568627450989,-0.008714596949891074,-0.019607843137254943,-0.019607843137254943,-0.0065359477124183885,-0.0065359477124183885,-0.06971677559912848,-0.04357298474945537,-0.05664488017429192,-0.06862745098039214,-0.031590413943355156,-0.031590413943355156,-0.04466230936819171,-0.03812636165577343,-0.03812636165577343,-0.031590413943355156,-0.025054466230936878,-0.025054466230936878,-0.03703703703703698,-0.04357298474945537,-0.03703703703703698,-0.04357298474945537,-0.03703703703703698,-0.04357298474945537,-0.050108932461873645,-0.04357298474945537,-0.050108932461873645,-0.04357298474945537,-0.04357298474945537,-0.04357298474945537,-0.03703703703703698,-0.03703703703703698,-0.03703703703703698,-0.04357298474945537,-0.03703703703703698,-0.06209150326797386,-0.03703703703703698,-0.06209150326797386,-0.06209150326797386,-0.06209150326797386,-0.06209150326797386,-0.06209150326797386,-0.06209150326797386,-0.06209150326797386,-0.03703703703703698,0.0185185185185186,0.0185185185185186,0.0185185185185186,0.0185185185185186,0.0185185185185186,-0.03703703703703698,0.0,0.0,0.0,0.025054466230936878,-0.025054466230936878,0.006535947712418277,-0.03703703703703698,0.006535947712418277,-0.03703703703703698,0.006535947712418277,-0.03703703703703698,0.006535947712418277,-0.03703703703703698,0.006535947712418277,-0.011982570806100212,-0.011982570806100212,-0.011982570806100212,-0.011982570806100212,-0.011982570806100212,0.006535947712418277,-0.030501089324618702,0.0,-0.011982570806100212,0.0,-0.03703703703703698,0.0,-0.03703703703703698,0.006535947712418277,-0.01851851851851849,0.006535947712418277,-0.011982570806100212,-0.011982570806100212,-0.011982570806100212,-0.011982570806100212,-0.011982570806100212,-0.011982570806100212,-0.011982570806100212,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,0.006535947712418277,-0.0065359477124183885,-0.0065359477124183885,-0.0065359477124183885,-0.03703703703703698,-0.0065359477124183885,-0.03703703703703698,-0.013071895424836666,-0.01851851851851849,-0.013071895424836666,-0.03703703703703698,-0.025054466230936878,-0.03703703703703698,-0.025054466230936878,-0.025054466230936878,-0.04357298474945537,-0.031590413943355156,-0.04357298474945537,-0.031590413943355156,-0.04357298474945537,-0.031590413943355156,-0.025054466230936878,-0.031590413943355156,-0.03703703703703698,-0.01851851851851849,-0.03703703703703698,-0.03703703703703698,-0.04357298474945537,-0.03703703703703698,-0.03703703703703698
average_abs_odds_difference,0.12348956098956093,0.0,0.04205728838081785,0.05317817817817816,0.05317817817817816,0.04806224291518407,0.04806224291518407,0.04806224291518407,0.035458252370017096,0.07287539640480817,0.06787722596546131,0.043939422615893176,0.05940394175688296,0.05940394175688296,0.07662704721528257,0.06156892186303947,0.07508243537655301,0.07966737746149505,0.021269694063811684,0.013485649515061315,0.048082746612158445,0.041760773378420435,0.04720739647210237,0.04720739647210237,0.04067144875968409,0.049600020188255545,0.14417305961423604,0.11324402133225664,0.12870854047324637,0.16172685290332348,0.13886470504117565,0.13427976295623353,0.15432922418216533,0.13320410746881334,0.14647630824101412,0.14320833438480499,0.13994036052859585,0.122083217671453,0.1102173602173602,0.09997182056005588,0.1102173602173602,0.09997182056005588,0.1191459316459316,0.12241390550214079,0.12568187935834993,0.1134853340735694,0.1481239643004349,0.14027104835928364,0.15378456187279715,0.13134247693071224,0.15051658801658796,0.15051658801658796,0.15051658801658796,0.14027104835928364,0.15051658801658796,0.14953030761854288,0.13700307450307445,0.14953030761854288,0.14953030761854288,0.14953030761854288,0.14953030761854288,0.14953030761854288,0.14953030761854288,0.14953030761854288,0.1594451594451594,0.1366723866723867,0.1366723866723867,0.1366723866723867,0.1366723866723867,0.1366723866723867,0.1459316459316459,0.14551158301158298,0.14551158301158298,0.14551158301158298,0.12666815975639506,0.1355967311849665,0.10389538698362225,0.14158801658801656,0.10389538698362225,0.14158801658801656,0.10389538698362225,0.14158801658801656,0.10389538698362225,0.14158801658801656,0.10389538698362225,0.12906078347254818,0.11554726995903467,0.12906078347254818,0.12906078347254818,0.13798935490111958,0.10389538698362225,0.13832004273180742,0.1006274131274131,0.12906078347254818,0.1006274131274131,0.14158801658801656,0.1006274131274131,0.14158801658801656,0.09496681555505085,0.14125732875732872,0.09496681555505085,0.13798935490111958,0.13798935490111958,0.12906078347254818,0.13798935490111958,0.13798935490111958,0.13798935490111958,0.13798935490111958,0.1352660433542786,0.1352660433542786,0.13068110126933655,0.1352660433542786,0.13068110126933655,0.13068110126933655,0.11716758775582303,0.11716758775582303,0.11716758775582303,0.11716758775582303,0.11716758775582303,0.11716758775582303,0.11716758775582303,0.11716758775582303,0.11716758775582309,0.11716758775582309,0.10823901632725164,0.13241813241813238,0.10823901632725164,0.13241813241813238,0.11150699018346077,0.12315887315887314,0.11150699018346077,0.14134670384670378,0.11749827558651088,0.13241813241813238,0.11749827558651088,0.12642684701508233,0.13568610627434158,0.12969482087129147,0.12675753484577013,0.12076624944272002,0.12675753484577013,0.12076624944272002,0.12642684701508233,0.12076624944272002,0.12348956098956093,0.1188152438152438,0.12348956098956093,0.12348956098956093,0.12675753484577013,0.12348956098956093,0.12348956098956093
disparate_impact,-0.17442814511588114,0.0,0.010494193378130765,0.006400021845467505,0.006400021845467505,-0.008563554926438432,-0.008563554926438432,-0.008563554926438432,-0.09963107221133474,-0.05504382809252397,-0.09880222840093399,-0.05913697200850255,-0.09880222840093399,-0.09880222840093399,-0.11056848252860886,-0.09556877820245592,-0.10917443025823449,-0.11760580924918501,-0.0659728986247143,-0.049534172281554295,-0.09880222840093399,-0.08207250048044318,-0.08762892780280876,-0.08762892780280876,-0.07632937254887535,-0.08199511008455275,-0.1981446717331973,-0.16462197969455358,-0.18152379049715697,-0.22317441979903263,-0.19587452319865803,-0.1857919037661962,-0.21277633400126142,-0.19587452319865803,-0.19702797703312208,-0.19142572148445225,-0.1857919037661962,-0.17442814511588114,-0.17288500497395934,-0.16293376569014612,-0.17288500497395934,-0.16293376569014612,-0.17868212265828526,-0.18444582737503537,-0.1901765020840205,-0.17868212265828526,-0.2118748645450991,-0.19587452319865803,-0.2118748645450991,-0.1901765020840205,-0.20617684343046158,-0.20617684343046158,-0.20617684343046158,-0.19587452319865803,-0.20617684343046158,-0.2118748645450991,-0.1901765020840205,-0.2118748645450991,-0.2118748645450991,-0.2118748645450991,-0.2118748645450991,-0.2118748645450991,-0.2118748645450991,-0.2118748645450991,-0.2118748645450991,-0.14935450756376523,-0.14935450756376523,-0.14935450756376523,-0.14935450756376523,-0.14935450756376523,-0.19587452319865803,-0.1901765020840205,-0.1901765020840205,-0.1901765020840205,-0.14163246146985492,-0.1901765020840205,-0.14163246146985492,-0.20044616872147644,-0.14163246146985492,-0.20044616872147644,-0.14163246146985492,-0.20044616872147644,-0.14163246146985492,-0.20044616872147644,-0.14163246146985492,-0.17868212265828526,-0.16293376569014612,-0.17868212265828526,-0.17868212265828526,-0.18444582737503537,-0.14163246146985492,-0.19468246400472636,-0.14742957915418087,-0.17868212265828526,-0.14742957915418087,-0.20044616872147644,-0.14742957915418087,-0.20044616872147644,-0.13580154115906176,-0.1901765020840205,-0.13580154115906176,-0.18444582737503537,-0.18444582737503537,-0.17868212265828526,-0.18444582737503537,-0.18444582737503537,-0.18444582737503537,-0.18444582737503537,-0.16869747040689614,-0.16869747040689614,-0.15892395857991595,-0.16869747040689614,-0.15892395857991595,-0.15892395857991595,-0.1436564864491276,-0.1436564864491276,-0.1436564864491276,-0.1436564864491276,-0.1436564864491276,-0.1436564864491276,-0.1436564864491276,-0.1436564864491276,-0.15502024509944268,-0.15502024509944268,-0.14935450756376523,-0.1801261662305188,-0.14935450756376523,-0.1801261662305188,-0.15502024509944268,-0.16462197969455358,-0.15502024509944268,-0.1857919037661962,-0.16462197969455358,-0.1801261662305188,-0.16462197969455358,-0.17028771723023103,-0.1857919037661962,-0.17592153494848703,-0.1801261662305188,-0.17028771723023103,-0.1801261662305188,-0.17028771723023103,-0.17028771723023103,-0.17028771723023103,-0.17442814511588114,-0.16869747040689614,-0.17442814511588114,-0.17442814511588114,-0.1801261662305188,-0.17442814511588114,-0.17442814511588114
theil_index,0.13665587496812748,0.05802725358630317,0.1455334188987899,0.13868043314647302,0.13868043314647302,0.12063872101986105,0.12063872101986105,0.12063872101986105,0.14834155639250438,0.11914735136494863,0.13717574913208336,0.1387447976849468,0.11702612179022448,0.11702612179022448,0.12723356499938898,0.0929472220702029,0.09258108478464042,0.09181831600672592,0.09220481926172046,0.10690291197467038,0.10896627085348096,0.09856347301228205,0.12028825920012584,0.12028825920012584,0.1276317111325623,0.1280188969344236,0.11947703842009233,0.13337523301169732,0.12640389832779647,0.1329336140566393,0.12412911869294774,0.12507406917265604,0.11725250958216149,0.11995353326788782,0.12184625095440675,0.12552889382765337,0.12922465109217668,0.12830470411800765,0.13477374779447876,0.13153798837892994,0.13477374779447876,0.13153798837892994,0.1352624001840635,0.13153798837892994,0.12782692556455844,0.13104873951196658,0.1278269255645584,0.13248028954306756,0.13201512605132545,0.13201512605132545,0.13573888038232354,0.13573888038232354,0.13573888038232354,0.13248028954306756,0.13573888038232354,0.13620332653809247,0.13620332653809247,0.13620332653809247,0.13620332653809247,0.13620332653809247,0.13620332653809247,0.13620332653809247,0.13620332653809247,0.13620332653809247,0.13620332653809247,0.12552889382765337,0.12552889382765337,0.12552889382765337,0.12552889382765337,0.12552889382765337,0.13665587496812748,0.1278269255645584,0.1278269255645584,0.1278269255645584,0.12733709637553636,0.1278269255645584,0.13153798837892997,0.1352624001840635,0.13153798837892997,0.1352624001840635,0.13153798837892997,0.1352624001840635,0.13153798837892997,0.1352624001840635,0.13153798837892997,0.1352624001840635,0.13573888038232357,0.1352624001840635,0.1352624001840635,0.13573888038232354,0.13153798837892997,0.139000254993015,0.12782692556455844,0.1352624001840635,0.12782692556455844,0.1352624001840635,0.12782692556455844,0.1352624001840635,0.13104873951196658,0.13201512605132545,0.13104873951196658,0.13573888038232357,0.13573888038232357,0.1352624001840635,0.13573888038232357,0.13573888038232357,0.13573888038232357,0.13573888038232357,0.13201512605132545,0.13201512605132545,0.1329336140566393,0.13201512605132545,0.1329336140566393,0.1329336140566393,0.13337523301169732,0.13337523301169732,0.13337523301169732,0.13337523301169732,0.13337523301169732,0.13337523301169732,0.13337523301169732,0.13337523301169732,0.12597212702916835,0.12597212702916835,0.12552889382765334,0.13709666018612846,0.12552889382765334,0.13709666018612846,0.12184625095440678,0.13337523301169732,0.12184625095440678,0.13752581493121796,0.12922465109217668,0.13709666018612846,0.12922465109217668,0.1296670859503993,0.1333752330116973,0.12597212702916835,0.1329336140566393,0.12552889382765337,0.1329336140566393,0.12552889382765337,0.1296670859503993,0.12552889382765337,0.13665587496812748,0.13201512605132545,0.13665587496812748,0.13665587496812748,0.1329336140566393,0.13665587496812748,0.13665587496812748
