,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199
accuracy,0.9035364570688679,0.8795014971271344,0.895039249008659,0.8931779558145181,0.8960103585012543,0.896495913247552,0.8989236869790402,0.9002184996358339,0.9023225702031238,0.9025653475762726,0.9002994254268836,0.9001375738447843,0.9008659059642308,0.902889050740471,0.9024034959941734,0.9022416444120741,0.9048312697256615,0.9016751638747269,0.9038601602330663,0.9034555312778182,0.9019988670389253,0.9027271991583717,0.9040220118151655,0.9026462733673222,0.9027271991583717,0.9031318281136198,0.9031318281136198,0.9021607186210245,0.9019179412478757,0.9030509023225702,0.9019988670389253,0.90515497288986,0.9029699765315206,0.9019179412478757,0.902889050740471,0.9027271991583717,0.9048312697256615,0.9013514607105284,0.9034555312778182,0.9050740470988103,0.9062879339645545,0.9042647891883143,0.9048312697256615,0.9036173828599174,0.9025653475762726,0.905964230800356,0.9045884923525127,0.9028081249494214,0.903698308650967,0.9048312697256615,0.9035364570688679,0.9038601602330663,0.9053168244719592,0.902889050740471,0.903698308650967,0.9050740470988103,0.9033746054867686,0.9038601602330663,0.9062879339645545,0.9031318281136198,0.9039410860241159,0.9049121955167112,0.9044266407704136,0.9053168244719592,0.9037792344420167,0.903698308650967,0.9034555312778182,0.9034555312778182,0.9052358986809096,0.9039410860241159,0.9042647891883143,0.9039410860241159,0.903698308650967,0.9049121955167112,0.9058023792182569,0.9034555312778182,0.9038601602330663,0.9033746054867686,0.9025653475762726,0.9023225702031238,0.9045075665614631,0.9042647891883143,0.9041029376062151,0.9040220118151655,0.9045884923525127,0.9045884923525127,0.904750343934612,0.9053977502630088,0.902889050740471,0.9036173828599174,0.9020797928299749,0.9041838633972648,0.9045884923525127,0.9041838633972648,0.9041838633972648,0.90515497288986,0.9048312697256615,0.9032127539046694,0.9037792344420167,0.9048312697256615,0.9049121955167112,0.904750343934612,0.9036173828599174,0.9036173828599174,0.9046694181435624,0.9043457149793639,0.903698308650967,0.9039410860241159,0.9040220118151655,0.9041838633972648,0.9045075665614631,0.903698308650967,0.9048312697256615,0.9058023792182569,0.9038601602330663,0.9045075665614631,0.905964230800356,0.902889050740471,0.9045075665614631,0.90515497288986,0.9032127539046694,0.9035364570688679,0.9052358986809096,0.9041838633972648,0.9031318281136198,0.9044266407704136,0.9033746054867686,0.9053168244719592,0.9043457149793639,0.9044266407704136,0.9037792344420167,0.9036173828599174,0.903698308650967,0.9038601602330663,0.903698308650967,0.9032127539046694,0.9042647891883143,0.9049121955167112,0.9041029376062151,0.9055596018451081,0.9054786760540584,0.9048312697256615,0.905964230800356,0.9033746054867686,0.9053168244719592,0.9058833050093065,0.9041838633972648,0.9040220118151655,0.9050740470988103,0.9053977502630088,0.9033746054867686,0.90515497288986,0.9055596018451081,0.9049931213077608,0.9032127539046694,0.9041838633972648,0.9038601602330663,0.903293679695719,0.9040220118151655,0.9040220118151655,0.904750343934612,0.9031318281136198,0.9043457149793639,0.9032127539046694,0.9041838633972648,0.9048312697256615,0.9032127539046694,0.9040220118151655,0.9041838633972648,0.9056405276361577,0.9050740470988103,0.905964230800356,0.9048312697256615,0.9044266407704136,0.9045075665614631,0.9046694181435624,0.9052358986809096,0.9046694181435624,0.9049931213077608,0.9038601602330663,0.9053977502630088,0.903698308650967,0.9045884923525127,0.9053977502630088,0.9049931213077608,0.9049931213077608,0.9045075665614631,0.9033746054867686,0.90515497288986,0.9040220118151655,0.9045884923525127,0.9049931213077608,0.9053977502630088,0.9039410860241159,0.9037792344420167,0.9046694181435624,0.9053977502630088,0.90515497288986,0.9052358986809096,0.9037792344420167,0.9035364570688679
f1,0.5340109460516028,0.47477954144620815,0.38031533683707597,0.5018867924528302,0.4286349488661627,0.5131328511610201,0.458604247941049,0.5306433193757139,0.4964539007092198,0.5453172205438067,0.49632052330335247,0.5213343677269202,0.4914902449149024,0.5226730310262531,0.5113452188006483,0.5317829457364341,0.5238866396761134,0.529252227818675,0.5263157894736841,0.5399151561897415,0.5173375846950976,0.5333850931677019,0.5274900398406376,0.5291585127201565,0.5176565008025682,0.5365853658536585,0.5263157894736843,0.5282871634802966,0.5201900237529691,0.5290880503144654,0.5219107777339124,0.5485362095531587,0.5270216962524655,0.5302325581395348,0.5290423861852434,0.5337470907680373,0.5388235294117647,0.526233968130587,0.5267750892502975,0.543757292882147,0.5397456279809221,0.5430668211664735,0.5362776025236593,0.5367561260210034,0.5259842519685038,0.5475077881619937,0.5334388603086665,0.5357557015848473,0.5277777777777778,0.5427682737169518,0.5351014040561622,0.533751962323391,0.5411764705882353,0.5348837209302326,0.525518341307815,0.5423332032774093,0.5350467289719626,0.5366614664586583,0.547302580140735,0.5336969224776003,0.531015408929277,0.5393963151705213,0.5359528487229861,0.5429687499999999,0.531705395825128,0.5394736842105263,0.5338022665103556,0.5327066196631414,0.5369711348359035,0.5401007361487795,0.5358964299725382,0.5357841220179899,0.530757097791798,0.5440434613892122,0.5402843601895734,0.5327066196631414,0.5322834645669291,0.5361305361305361,0.5307872174590802,0.5279624560031286,0.538341158059468,0.5395095367847411,0.5351118085523735,0.5367187499999999,0.5381903642773208,0.537828302626421,0.5389737563650607,0.5424657534246575,0.5275590551181102,0.5353101833788528,0.5262333594361785,0.5353218210361068,0.5421359223300971,0.5400155400155401,0.5360501567398119,0.5418295543393277,0.5373721479150274,0.5331772053083528,0.5313362238864802,0.5388235294117647,0.5393963151705213,0.5400547088706525,0.5349472862163218,0.537116206762534,0.5416342412451363,0.5407925407925407,0.5344287949921753,0.5436370626682046,0.5338050314465409,0.5410852713178295,0.5361635220125786,0.5351562499999999,0.5344418052256532,0.547433903576983,0.5366614664586583,0.5390624999999999,0.5453834115805947,0.53125,0.5415695415695416,0.5443234836702954,0.5328125,0.5361867704280157,0.5377023292538491,0.5378610460577673,0.5315068493150686,0.5388520109332292,0.5339578454332552,0.545807453416149,0.5386416861826698,0.5374069721895809,0.5350019554165036,0.5345838218053927,0.5326001571091908,0.5362997658079625,0.532967032967033,0.5320813771517997,0.5333333333333333,0.5386729485669415,0.532912889239259,0.5457376411054885,0.5401574803149607,0.543123543123543,0.5439560439560439,0.531764705882353,0.5433255269320842,0.5448140900195696,0.5367762128325508,0.5367187499999999,0.543757292882147,0.5456665371162068,0.5350467289719626,0.542544886807182,0.541813898704358,0.541047693510555,0.5320813771517997,0.535686274509804,0.5344827586206897,0.5341130604288499,0.5352664576802508,0.537080405932865,0.5364316660102403,0.5318732890105592,0.5361067503924647,0.5371517027863776,0.5378610460577673,0.5424124513618678,0.5302435192458759,0.5399534522885958,0.5378610460577673,0.5455962587685113,0.5441119315973572,0.5478599221789883,0.5424124513618678,0.5399298792364627,0.5368916797488227,0.5409197194076384,0.5445352003111629,0.5409197194076384,0.5388845247446975,0.5388198757763976,0.5460194174757281,0.5347928068803753,0.5363743609909556,0.5438938743659774,0.541047693510555,0.5446082234290147,0.538341158059468,0.5368502715283164,0.5439688715953307,0.5359937402190924,0.5392731535756154,0.5453137103020914,0.5413887799136917,0.5343271871322086,0.5331762858264626,0.5354889589905363,0.5435376805935181,0.5411119812059514,0.5431135388216933,0.5371739976644608,0.5340109460516028
statistical_parity_difference,0.11040537578327551,0.14652939975963175,0.08057249975434061,0.11520971752949802,0.0426940898130721,0.1015548349546853,0.07211954919612688,0.07664724067817108,0.10511122701195039,0.13405670574540618,0.10103706055314934,0.13365004497456479,0.08543277625342978,0.11406381097077031,0.11788853866678761,0.09923581033583528,0.09904155045087945,0.1053795626507026,0.09276854350438786,0.10126835831500336,0.10202574510381944,0.12758943891395874,0.10816949741868673,0.11065481454605924,0.10343923142626062,0.12078051656500147,0.11609635894993839,0.10687619522740502,0.11306605591963537,0.10534252477380439,0.10625713357067809,0.10101891955221962,0.10920429034671988,0.09612236105127102,0.11435028761045224,0.12742314640543628,0.12352434295562258,0.13406577624587102,0.1010279900526845,0.11555137304700785,0.09833027203942643,0.12339508832399827,0.08110010053138016,0.0875303294859294,0.1025616605062851,0.12825460894804872,0.11298290966537412,0.11733448226339223,0.12601873058345994,0.11546822679274661,0.12236029539596514,0.1050099397567594,0.09550329939454408,0.11480305675865665,0.09276854350438786,0.09442239808914789,0.12202771037892016,0.10679304897314378,0.11663227435240404,0.10031671164123147,0.09708307822550774,0.10787395027853997,0.10214592923497888,0.11023908327475303,0.10887170532967491,0.11447047174161167,0.1165491280981428,0.11393455633914601,0.11904351572598017,0.10849301193526686,0.09869989493336963,0.11671542060666529,0.09666734695420152,0.11816594480600467,0.10634027982493933,0.11704800562371027,0.09322131265259227,0.10596158643053132,0.09728640861092845,0.1042616234684082,0.10434476972266944,0.09703696984814471,0.10492679350249816,0.11335253255931729,0.11393455633914601,0.1141008488476685,0.11704800562371027,0.11376826383062352,0.09322131265259227,0.11621654308109781,0.11696485936944903,0.12369063546414506,0.11833223731452717,0.12464228213791695,0.11713115187797152,0.11040537578327551,0.08371467229037695,0.1007324429125377,0.1059245485536331,0.12352434295562258,0.09853360242484713,0.11343567881357854,0.11015593702049177,0.12783887767674249,0.12186141787039767,0.10907503571509558,0.07632372616159097,0.12551078255742762,0.10845597405836868,0.10546270890496384,0.11156942334293295,0.10089873542106019,0.10683915735050681,0.12480857464643944,0.11613339682683657,0.11646598184388156,0.1230254654300551,0.11335253255931729,0.11841538356878842,0.1185816760773109,0.11335253255931729,0.09384037430931917,0.10625713357067809,0.12252658790448763,0.09820101740780215,0.11326938630505605,0.11629968933535907,0.1213625403448302,0.09761899362797344,0.11082110705458174,0.10737507275297249,0.10098188167532143,0.10206278298071762,0.11941313861992336,0.09878304118763087,0.11368511757636227,0.10920429034671988,0.10509308601102064,0.10281109926906884,0.12194456412465891,0.11812890692910646,0.10596158643053132,0.1205771861795808,0.11418399510192974,0.11629968933535907,0.11999516239975208,0.110571668291798,0.11646598184388156,0.12800517018526497,0.10604473268479256,0.11891426109435589,0.12252658790448763,0.12066033243384204,0.11663227435240404,0.110571668291798,0.09861674867910838,0.11090425330884299,0.10359645343431823,0.10779080402427872,0.11629968933535907,0.121325502467932,0.11048852203753676,0.1174637368950165,0.12381081959530449,0.10695934148166626,0.1062941714475763,0.1051762322652819,0.10562900141348633,0.11629968933535907,0.10351330718005698,0.12472542839217819,0.1062941714475763,0.1156345193012691,0.11899740734861713,0.11123683832588797,0.11596710431831408,0.12177827161613641,0.1284209014565712,0.1051762322652819,0.11513564177570162,0.11521878802996287,0.10417847721414696,0.10542567102806563,0.10376274594284073,0.10106502792958268,0.10562900141348633,0.10745821900723374,0.11808279855174343,0.10006727287844773,0.110571668291798,0.1165491280981428,0.11775021353469844,0.1018133442179339,0.11115369207162672,0.11754688314927775,0.09355389766963726,0.1070424877359275,0.11385141008488477,0.11621654308109781,0.11883111484009465,0.11040537578327551
equal_opportunity_difference,0.08577604074139866,0.20219695623852668,0.07413987090661456,0.07245218215195126,-0.03129626339788,0.09270444720791138,0.027654408716764334,-0.0065434949961509226,0.044797773435186816,0.12370462485935929,0.06274056966897612,0.12142476461183155,0.047107242257357684,0.0922011014389767,0.12580683365902762,0.042695564635518435,0.08630899508497664,0.05859536921892583,0.06271096109433288,0.0862793865103334,0.07117901344229288,0.06910641321726774,0.08835198673535855,0.07757446556522768,0.060667969443950975,0.0780778113341623,0.0045005033457689025,0.06321430686326762,0.07861076567774034,0.03911292710368924,0.08912180967608219,0.03627050393794051,0.05655237756854381,0.0306448747557293,0.07911411144667496,0.13628826908272634,0.13705809202344998,0.13116598566944992,0.059631669331438375,0.08704920945105699,0.07526499674305681,0.08396991768816253,0.006543494996150867,0.0532066086338604,0.07014271332978034,0.12474092497187184,0.1334754544916208,0.0780778113341623,0.11322318943566057,0.08781903239178068,0.06987623615799132,0.07449517380233317,0.0532066086338604,0.06679694439509681,0.04989044827382011,0.04935749393024225,0.0826967489785041,0.09551726179901698,0.07268905074909693,0.05705572333747855,0.039882750044412885,0.12269793332148993,0.07295552792088589,0.10371883697518797,0.05116361698347838,0.08858885533250427,0.08577604074139866,0.08808550956356959,0.08885533250429317,0.0749985195712678,0.08577604074139866,0.08423639485995138,-0.0016580801800201161,0.08550956356960981,0.08500621780067502,0.128856516847279,0.050393794042754736,0.06679694439509681,0.07372535086160953,0.03757328122224196,0.0683365902765441,0.05089713981168953,0.05936519215964947,0.06910641321726774,0.0826967489785041,0.11064724344170068,0.09551726179901698,0.1324391543791082,0.05501273168709658,0.05628590039675496,0.0942440930893586,0.14090720672706813,0.0742286966305441,0.10371883697518797,0.09859655356191155,0.0780778113341623,0.004234026173979999,0.05859536921892583,0.07911411144667496,0.12346775626221357,0.0683365902765441,0.07961745721560959,0.12500740214366085,0.09320779297684612,0.08935867827322796,0.07576834251199138,0.017824361935216415,0.14884230473145021,0.1024456682655297,0.08781903239178068,0.0865458636821223,0.05705572333747855,0.05116361698347838,0.13756143779238472,0.09551726179901698,0.09397761591756976,0.10217919109374074,0.060904838041096754,0.11576952685497721,0.11346005803280634,0.05936519215964947,0.026795760052111095,0.08731568662284594,0.12192811038076629,0.03449398945934745,0.08038728015633323,0.08500621780067502,0.09756025344939889,0.0532066086338604,0.08346657191922774,0.05782554627820219,0.05782554627820219,0.0760348196837804,0.09628708473974062,0.07526499674305681,0.07449517380233317,0.10475513708770062,0.08346657191922774,0.07757446556522768,0.12628057085331912,0.09705690768046427,0.07345887368982051,0.11884881861787178,0.08962515544501681,0.10294901403446433,0.08935867827322796,0.042695564635518435,0.09628708473974062,0.14141055249600287,0.057559069106413174,0.09628708473974062,0.1173091727364245,0.10756795167880617,0.10602830579735889,0.07449517380233317,0.0450050334576893,0.0865458636821223,0.05705572333747855,0.07218570498016225,0.08192692603778051,0.08731568662284594,0.10167584532480606,0.1129567122638716,0.09089832415467519,0.04038609581334751,0.0749985195712678,0.0647539527447149,0.04858767098951855,0.08115710309705687,0.05909871498786046,0.1406407295552793,0.05601942322496589,0.08858885533250427,0.11884881861787178,0.04423521051696566,0.10448865991591161,0.11346005803280634,0.11807899567714814,0.09705690768046427,0.09089832415467519,0.08396991768816253,0.0306448747557293,0.0865458636821223,0.0749985195712678,0.07884763427488595,0.09833007639012259,0.1091075975602534,0.07884763427488595,0.05986853792858415,0.09782673062118791,0.10756795167880617,0.09679043050867531,0.09397761591756976,0.12808669390655536,0.11603600402676612,0.03449398945934745,0.06217800675075502,0.06602712145437317,0.08935867827322796,0.13474862320127906,0.08577604074139866
average_abs_odds_difference,0.06435387740702617,0.1315261973053718,0.05677138426549434,0.06474958100886154,0.021840205844034278,0.06215199989030916,0.027629537372124573,0.016082017019754376,0.05132852344924356,0.09109488194070553,0.05451399421980818,0.09291782600464807,0.03959974875198767,0.07043606792413307,0.08614034023422244,0.041928106169895146,0.058920983107631594,0.05172231441664306,0.04595679086995327,0.05767442213553316,0.0557237349090659,0.06958170346598978,0.06486950567192983,0.06209739577398488,0.053104838029741544,0.06792859353327908,0.04056787178580658,0.054591067355145045,0.06511234992100504,0.04527021661459097,0.06413584890962945,0.03918164591804876,0.054176369885795286,0.03580954721061207,0.06513098775700106,0.09297235441991862,0.09055418716438292,0.09622377263657858,0.050089883882721425,0.06716101678475934,0.05274648580095208,0.07106107474905624,0.0175002017433082,0.03763584932598527,0.05464630073647853,0.08836385760684781,0.08313673651394718,0.06571143150068082,0.08510179392950601,0.06745271423573268,0.06641782405534594,0.05700895901153198,0.04267606451720718,0.060257426069925096,0.04153066144382387,0.04037865108784404,0.0706575254426983,0.06511641293849858,0.06266416956332016,0.04763673564338506,0.04012221021982016,0.07525117183811793,0.05444143712545839,0.06972987763322092,0.051621810622345346,0.06723173458006912,0.0683687383849744,0.06763255983132138,0.07112016651847236,0.058545653734712405,0.05665040451898952,0.06778534348302778,0.026915649230310472,0.06823549979907997,0.06116588721076682,0.08395659548553361,0.04108322918287731,0.054444866146626913,0.05177026038872529,0.043987716567230495,0.053929667248637445,0.042806351944834856,0.051521309193705636,0.0601737456519917,0.06526442860664844,0.07522481486029851,0.07172129202659915,0.08219912337044255,0.04311305594688269,0.057638529190600765,0.07232312250078882,0.09233892348710922,0.0645791933136741,0.07923104946660751,0.07312111687896365,0.060970832800350566,0.018236380296961233,0.04854637961319147,0.059551462882174167,0.08578975327758595,0.05010123430946625,0.06363156870581267,0.07783074911699928,0.0778971744259963,0.0722840051640988,0.05921020726323975,0.018286848060396103,0.09500147621786104,0.06909329327839178,0.06098765617671488,0.06534468000341334,0.04796298471124487,0.05019696775454946,0.090572825000379,0.0712086149199623,0.07071843403740424,0.07736263272594782,0.057777442989867644,0.07925740644442691,0.07833570708181278,0.057100834068532516,0.03255336101039559,0.06213419358307526,0.08455386023991973,0.0386662447563063,0.06387665914709173,0.06789061289522405,0.07440066576805728,0.04414751439469732,0.06357199907349477,0.05250257818863768,0.04834789618160669,0.055748047958434355,0.07367086739383963,0.05328579548455706,0.06272830491544165,0.0705276697476428,0.05979017314401783,0.0568441199670178,0.0849323915308462,0.07300379207395963,0.05616455988741585,0.08182240653914788,0.06844898978173926,0.07335982714080731,0.07095237631569143,0.04913887638402106,0.0717333474194069,0.09434168830723229,0.05043181962831045,0.07339122533567408,0.08252403347591439,0.0781194930440478,0.0748994730222546,0.0606975709216204,0.042310495848904305,0.06497182392585928,0.04976068365659482,0.057838351584573504,0.06653739505255384,0.07200822149401592,0.07017983168552011,0.07841028326520522,0.07433884994353553,0.045813586950031585,0.057027596847528006,0.05402926144746131,0.04746417745704754,0.06619909059188626,0.04940394362368414,0.09187943583335499,0.049895031736058096,0.06788423271578872,0.08093687335495697,0.05018834138291023,0.07385000802336542,0.08041304808532829,0.0867373778854474,0.06460121404050911,0.06861950403962586,0.06562137090331212,0.04089636941152823,0.06132981902546511,0.05532311192156657,0.0552169352795544,0.06449208624023015,0.07025370290284962,0.06646919904859669,0.04752508605175346,0.06853491639187657,0.07552947493389547,0.07175198525540295,0.06107744117493487,0.0797432510760006,0.0798101081175697,0.03549030995285472,0.053020930508646924,0.059100169867487,0.06854878624431612,0.08662300660436809,0.06435387740702617
disparate_impact,0.7847969457538275,0.826139234817768,0.8937100996487287,0.7667545087962533,0.4793029346434597,0.7088176734325653,0.6848257017511902,0.572871909771215,0.8407995361399637,0.8545578747512274,0.790967162392088,0.8868780516867655,0.7186632800397789,0.8250954387851049,0.8690375606416038,0.7167938667625806,0.7674366649818938,0.74844387419024,0.7138132386244426,0.7218176080238452,0.7644725622165781,0.8598493792988462,0.7966609972255876,0.7874935766014268,0.7805030799439683,0.824108693975903,0.8287579926197705,0.7643875245873761,0.8139429068346299,0.765322027032868,0.775354030912657,0.7192145696776828,0.789705332571666,0.7001679318530823,0.8095354327726949,0.8580747559404777,0.8536146341785464,0.8913284373142412,0.7533096556024151,0.8043849368088296,0.7410164547387937,0.8336993244776049,0.6339860249717811,0.6566548247844941,0.7525438758061411,0.8669795342834373,0.8130191192400662,0.8055284475109087,0.8812152822606589,0.8034964427477145,0.8409904809501499,0.7616988346634477,0.7099353422555522,0.7964167671596528,0.7138132386244426,0.6983021014415458,0.8374126596022659,0.7634950658043564,0.8160077766368223,0.728273021510127,0.7271849755903317,0.7751596215692873,0.748004603372722,0.7830032232998005,0.7860490213685556,0.7928956367610739,0.8151089001718052,0.8050125847189683,0.8424330044463594,0.7643608724905206,0.7277374858912565,0.81690746180772,0.722616671619952,0.8143390771930634,0.7762710415225385,0.8205143187387133,0.7018086213105421,0.7546140127603957,0.7125246645419878,0.7535943328515087,0.7544915962584985,0.7098639090919613,0.760795084037091,0.7987147681319784,0.8050125847189683,0.8068192699439173,0.8205143187387133,0.8032091577198177,0.7018086213105421,0.8115214523781493,0.819611384140121,0.8554311651049441,0.8161105568414456,0.8469445512276255,0.8214180693650699,0.7847969457538275,0.6468508246878731,0.7327234071376029,0.7716943744951267,0.8536146341785464,0.7259356836019935,0.799612031538968,0.782107567171856,0.8625172332600387,0.8356285378087646,0.7705364545346706,0.5974094828467967,0.8378897792765994,0.7814973521538363,0.7493229951259803,0.7974439074545949,0.7345091218978373,0.7817908347461363,0.8487239111277027,0.8106265977323056,0.8142108309601208,0.8481847565841769,0.7987147681319784,0.8169974748596734,0.8187736742609293,0.7987147681319784,0.6920936557790617,0.775354030912657,0.8427842034041769,0.7223417893474045,0.7978183090849413,0.8124171085060939,0.8302951918334021,0.716083387158982,0.7892953788906899,0.7697590683892871,0.7354031764947182,0.7470992162579093,0.8277023050052307,0.7286396059343945,0.8023086623865674,0.789705332571666,0.7626034027938745,0.7552773627018018,0.8365202008192463,0.8323272684654235,0.7546140127603957,0.8403378521767697,0.8077238380743441,0.8124171085060939,0.8340001215922207,0.7865938914305292,0.8142108309601208,0.864299764926322,0.75549857717013,0.82233556582729,0.8427842034041769,0.8412465301129878,0.8160077766368223,0.7865938914305292,0.7268361789352438,0.7901974989338276,0.7464450620072847,0.7742575015261494,0.8124171085060939,0.8485458325945993,0.7856950149655121,0.8250412617344903,0.8380949359506429,0.7652807805645911,0.75815697483674,0.7635087899086872,0.7510835589610133,0.8124171085060939,0.7455549862920913,0.8478338354125096,0.75815697483674,0.8052742209937137,0.8232280246103095,0.7938141394040161,0.8088392871582099,0.834737669152963,0.8687700450572258,0.7635087899086872,0.7999503397409637,0.800835687297688,0.7526978738044716,0.7662298800230477,0.7482275936735681,0.7362980311405619,0.7510835589610133,0.7706571376009715,0.8134545127833294,0.7256122660601004,0.7865938914305292,0.8151089001718052,0.8099240589839467,0.7443879629025335,0.7929087522892034,0.82594911472467,0.705444988953926,0.7661748351614719,0.8041104646758305,0.8115214523781493,0.8214439028168081,0.7847969457538275
theil_index,0.07275815187647644,0.0809596538506399,0.09266745696587242,0.07724052002807222,0.08734325301660345,0.07562147821733509,0.08351972283789035,0.07301438334360184,0.07841397962371581,0.0707386872553565,0.07839631734851216,0.07454973688854494,0.07909656722880434,0.07452961900121029,0.07624553635510967,0.07301020596007471,0.07446354810357401,0.07337841897432268,0.07402192872206055,0.07176733901194057,0.07530838658984912,0.07278877461321942,0.07384790149178574,0.07347497339744613,0.07530061791259268,0.07229446380522914,0.07396989832546362,0.07357718544941724,0.07485698285211467,0.07351895987203737,0.07459027459678028,0.0704842030019963,0.0738451168920072,0.07323778444831569,0.07351342210814443,0.07272881005348064,0.07208473726188244,0.07384647243613526,0.07392037816120031,0.0712874903600254,0.07206770919421854,0.07131867547057992,0.07250190553981024,0.07231235065656548,0.07398104910994044,0.07075053133862252,0.07294132048126914,0.07240201778219423,0.07377868507115216,0.07142844973053221,0.07257871453274095,0.07282888864038711,0.07174252685429917,0.07255504898359276,0.07413639444422387,0.07152611702099722,0.07257295429301562,0.07235083677139964,0.0708202352463442,0.07277374801543139,0.07327917323881793,0.07199789513361149,0.07251906075022929,0.07144460693050513,0.07315467084861478,0.07186636143184472,0.07278524311882578,0.07296465327904557,0.07242468277657169,0.07178550030593148,0.07251382547996629,0.07250304047501487,0.07330131739645737,0.07122226008322727,0.07193559292762289,0.07296465327904557,0.07306773651099792,0.07239335065194083,0.07320240829552774,0.0736430851798832,0.07213386650091033,0.07191661850524075,0.07262790500277078,0.0723564177410748,0.07216635938896337,0.07222601663453627,0.0720523174046659,0.07153657858423357,0.07375272096020481,0.07255165123520724,0.07390403333128251,0.07260071081780133,0.0715096405878263,0.07182412409321541,0.07248131735848058,0.07161820091757513,0.07232316406888799,0.07286644957026533,0.07321436985019601,0.07208473726188246,0.0719978951336115,0.07187335733614537,0.07261145799970288,0.07225250717203552,0.07160203196573399,0.07171027878147032,0.07270393573403801,0.07118674656777634,0.07283420098780921,0.07164473503062888,0.07249182154569514,0.07258437044371722,0.07279965755735351,0.07074526565113019,0.07235083677139963,0.07201448868711116,0.07110774188128051,0.07315425220032327,0.07159643346972523,0.07120072170406487,0.07292629949768087,0.0723992110118064,0.072305676111085,0.07218270389277093,0.07313290372452627,0.07204162309296173,0.0727524919573496,0.07096754875084005,0.07206874627985521,0.07228040137326083,0.0726170449455017,0.07267125739599074,0.07300271946649223,0.0724106191186024,0.07294297755168,0.07304597727391461,0.07293142807268285,0.07211711217763798,0.07298598527670014,0.07100548188932233,0.07192609576231977,0.07136874284623507,0.07134573279357956,0.0731113684846323,0.0713850006023608,0.07119450891131372,0.07236189419416139,0.0723564177410748,0.0712874903600254,0.07100010589310002,0.07257295429301562,0.07149895821527653,0.07166071897233102,0.07173219601346527,0.07304597727391461,0.07254101780532683,0.07270942009169652,0.07271969614429445,0.07259536872508854,0.07229666150568666,0.07246962998494165,0.07307306282744903,0.07248662190650844,0.07220761712096917,0.07218270389277094,0.0714881492448665,0.07334504254521143,0.0718183466359485,0.07218270389277093,0.07103792535845176,0.07122781521654284,0.07069097019879411,0.07148814924486652,0.07186246166465415,0.07237253299521557,0.07172144628594943,0.07117361699374315,0.07172144628594943,0.07208985792324099,0.07199198829842846,0.07094046077130475,0.07264415678058632,0.07246457107792512,0.07129822052895055,0.07173219601346527,0.07113549907279937,0.07213386650091033,0.07227357834471457,0.07126038380313154,0.07247590804078695,0.07198734305898044,0.07101607120336277,0.07171526882033503,0.07274198452557523,0.07291580028692517,0.07261610723361699,0.07135782120487233,0.07173741386420365,0.07141216877497389,0.07225829473621016,0.07275815187647644
