,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
accuracy,0.8828194545601683,0.8536861697823096,0.877721129724043,0.8710852148579752,0.8762644654851501,0.8781257586792911,0.8776402039329935,0.8763453912761997,0.8786922392166383,0.8798252002913328,0.8808772355749778,0.8798252002913328,0.8816055676944242,0.8782876102613904,0.8799061260823825,0.8799870518734321,0.8823338998138707,0.8817674192765235,0.881848345067573,0.8813627903212754,0.881443716112325,0.8821720482317714,0.8811200129481266,0.8833859350975156,0.8827385287691187,0.883709638261714,0.8820101966496723,0.8811200129481266,0.882900380351218,0.8829813061422676,0.8824148256049202,0.8816864934854738,0.8811200129481266,0.8839524156348628,0.8817674192765235,0.8837905640527636,0.8834668608885652,0.883709638261714,0.8825766771870195,0.8831431577243668,0.8825766771870195,0.8827385287691187,0.8841142672169621,0.8822529740228211,0.8836287124706644,0.8837905640527636,0.8830622319333171,0.8832240835154164,0.882900380351218,0.8831431577243668,0.8828194545601683
f1,0.35587188612099646,0.3333333333333333,0.2725084256138661,0.35059111292295153,0.29701149425287354,0.3672268907563025,0.2947761194029851,0.3519932145886344,0.3232505643340858,0.35797665369649806,0.33333333333333337,0.36183927804039534,0.3471664435519857,0.3528399311531841,0.33690795352993747,0.35493692909960856,0.35262689225289395,0.3672585534863578,0.3493761140819965,0.359825327510917,0.34859937750111164,0.3686036426712923,0.3468208092485549,0.3671497584541063,0.35685752330226367,0.3760312635692575,0.3582746478873239,0.3565484012264564,0.3571745890715238,0.370757180156658,0.356225077536553,0.36434782608695654,0.3514348785871964,0.37434554973821993,0.3600525624178712,0.3668430335097002,0.3622674933569531,0.3655629139072848,0.3542501112594571,0.37162750217580504,0.36107441655658296,0.3664188893747268,0.36014298480786416,0.3682153712548849,0.3614564831261101,0.3657243816254417,0.356347438752784,0.3695937090432503,0.35430611334225787,0.3677758318739054,0.35587188612099646
statistical_parity_difference,0.11006322444678608,0.17018552224031674,0.03547993102787623,0.12263706613021683,0.08653047865376631,0.1056806207491139,0.08910416067950314,0.1272360060031293,0.0799214484145991,0.08493789315707125,0.09694335345020276,0.07391113452757288,0.10735622824663921,0.12348245361943994,0.10760529424912987,0.11569355302232014,0.10365296803652967,0.12143963342593479,0.10710716224414855,0.10657630041191685,0.11984465306383113,0.11840054922246704,0.10998020244595587,0.10436743621675129,0.0964955136188013,0.11207331481304084,0.11793514704473608,0.10715745441772839,0.10981415844429543,0.11248842481719194,0.09945157582143883,0.11889868122744836,0.12509260146246448,0.09983395599833955,0.1203100552415621,0.13141983587189066,0.12567375546827603,0.12180445125650606,0.11014624644761631,0.12564102564102564,0.11801816904556629,0.11340166682632435,0.0977408436312546,0.12193776543091611,0.12946003767921577,0.10873487243350256,0.1168885908611936,0.12638822364849764,0.11722067886451448,0.11036258262285661,0.11006322444678608
equal_opportunity_difference,0.08079663839510476,0.25093915804964956,-0.027622865109794337,0.05872158320746679,0.1096684868905155,0.1091456566360714,0.059244413461910866,0.09754657062081251,0.0700205259285078,0.05660121606444368,0.06266217419929515,-0.004124549785058662,0.13057201502652882,0.07343828666589208,0.056039657643003726,0.13048487665078812,0.08373997908678982,0.10481778397428448,0.07278958986871154,0.058072886410286184,0.08668331977847488,0.10408194880136323,0.11594244994384417,0.0814453351922853,0.0793249680492622,0.09819526741799312,0.10343325200418269,0.08953952209441923,0.0932186979590256,0.13113357344796867,0.12100615777855234,0.09460322992912745,0.15173695828976413,0.11503233801944152,0.1282773711320243,0.15238565508694474,0.12974904147786687,0.1260698656132605,0.06837457883118392,0.1442914681848108,0.14290693621470896,0.12239068974865419,0.07858913287634095,0.10481778397428448,0.15900817164323616,0.09828240579373382,0.08079663839510476,0.14723480887649587,0.15247279346268539,0.06607993493667946,0.08079663839510476
average_abs_odds_difference,0.07954069461668148,0.17781590892899213,0.0273298329964697,0.07980379163228335,0.07863141826927904,0.08493926690233894,0.06320408322387981,0.09646319797928712,0.05857348682439722,0.05422951231693461,0.06651691553983702,0.02982908208838515,0.09557948511900231,0.08576597159231913,0.07088480025569265,0.10020740119460039,0.0765879160558284,0.09415089879471877,0.0753500095823825,0.06894054710157657,0.0885592263551028,0.09180470771878832,0.09226803974937524,0.0750194823735958,0.07000275182314461,0.08504519062649038,0.09222900240460755,0.08043657680804987,0.0835394999452941,0.09708989473478256,0.08632531739554289,0.08923078254324263,0.11412184090127488,0.08296408597378271,0.10215809635852699,0.1173134764520713,0.10613554022585914,0.10203693764743257,0.07544830890251766,0.11021193507769583,0.10565670249925645,0.0950710479167999,0.07038347732109348,0.09443163995137233,0.11878683181907396,0.0838591294093004,0.08401193371615268,0.11191755638741634,0.10906963013985756,0.07359913406363153,0.07954069461668148
disparate_impact,1.0103839964081338,0.9999921039848868,0.5276163254373005,0.934825113150292,0.9161523714450168,0.888656182460734,0.9617820675333751,1.0224416078568501,0.8363612424288743,0.8031770373567367,0.9604306329643996,0.7183635223577548,0.9996284129917176,1.0275261343262951,1.0036204342612551,1.0031293268040906,0.9726436684252867,1.027751057904346,0.9956522646120783,0.9565248267354045,1.0670897416365908,1.0131136282380981,1.009067340523387,0.952927319945737,0.9216349995199634,0.9792530778129606,1.037159075390402,0.9653023125566281,1.0064392181171176,0.9854297497046898,0.9375389864004856,1.0205210695159599,1.0832507975818793,0.9138031684023534,1.0418117923248416,1.1152910413880246,1.0923713819786884,1.0648601877611326,1.0117023881613922,1.0593915755148284,1.038441949203291,0.9991542321302554,0.9413595048677418,1.0351402540867172,1.1183830360241414,0.9895227444504168,1.0533610499666826,1.0706628282144546,1.0586802114442824,0.9836514512248247,1.0103839964081338
theil_index,0.10043593073236151,0.10662172303118929,0.10936286333374762,0.10259836871526037,0.10745696060926073,0.09980545819618496,0.1073902737387667,0.10177128064797862,0.10445577732963697,0.10063508651141981,0.10306893266680504,0.10020615405260733,0.10153455050120526,0.10141314584916544,0.1028670996265608,0.10094600654653794,0.10085099903493079,0.09934729815579459,0.10126617980484587,0.1002206484205015,0.10140967115395219,0.0991448981127934,0.10164591763676063,0.09914373010786627,0.10034341563572101,0.0981192548049326,0.10029744459768541,0.10061065313481878,0.10028595149891413,0.09880039775596919,0.10045819816187883,0.09968049185051259,0.10115903073752555,0.09827660579616683,0.10013952505967182,0.09912179742453299,0.0996606343724913,0.09927163201578303,0.1006434508285127,0.09868276565065566,0.09991519197640715,0.0993112814695181,0.09979301404966381,0.09917749477525312,0.09972422437313859,0.09924293109317982,0.10034959426657894,0.0988973273973088,0.1005889199683813,0.09910801812645906,0.10043593073236151
