,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154
accuracy,0.9178603220846484,0.8947155458444607,0.9017560896657765,0.9041029376062151,0.9072590434571498,0.908877559278142,0.9082301529497451,0.9098486687707372,0.909686817188638,0.9093631140244396,0.9093631140244396,0.9097677429796877,0.9112244072185806,0.9107388524722829,0.9127619972485231,0.9121955167111758,0.9128429230395727,0.9122764425022255,0.9127619972485231,0.9132475519948208,0.9137331067411184,0.9131666262037711,0.9122764425022255,0.9134903293679696,0.9139758841142672,0.9137331067411184,0.9145423646516144,0.915270696771061,0.9147851420247632,0.9151088451889617,0.9144614388605649,0.9149469936068625,0.9157562515173586,0.9165655094278546,0.9164845836368051,0.9159990288905074,0.9159990288905074,0.9157562515173586,0.9157562515173586,0.9162418062636563,0.9159181030994578,0.9161608804726066,0.9164845836368051,0.9162418062636563,0.9167273610099539,0.9167273610099539,0.9157562515173586,0.9169701383831027,0.9165655094278546,0.9162418062636563,0.9167273610099539,0.9168892125920531,0.9168892125920531,0.9165655094278546,0.9166464352189042,0.9168892125920531,0.9164845836368051,0.9168082868010035,0.917131989965202,0.9174556931294003,0.917941247875698,0.9178603220846484,0.9175366189204499,0.9173747673383508,0.9180221736667475,0.917941247875698,0.9173747673383508,0.9168892125920531,0.9169701383831027,0.9170510641741523,0.9169701383831027,0.9172129157562515,0.9172129157562515,0.9172129157562515,0.917131989965202,0.9175366189204499,0.9172129157562515,0.9176175447114996,0.9177793962935987,0.9175366189204499,0.9175366189204499,0.9177793962935987,0.9177793962935987,0.9178603220846484,0.9177793962935987,0.9178603220846484,0.9176984705025492,0.9174556931294003,0.9172938415473011,0.9172129157562515,0.9170510641741523,0.9168082868010035,0.9169701383831027,0.9173747673383508,0.9170510641741523,0.917131989965202,0.9164845836368051,0.9168892125920531,0.9172129157562515,0.9168892125920531,0.9168892125920531,0.9168892125920531,0.9172938415473011,0.9168082868010035,0.9170510641741523,0.9173747673383508,0.9172938415473011,0.9176175447114996,0.9172129157562515,0.9172129157562515,0.9173747673383508,0.9170510641741523,0.9174556931294003,0.9173747673383508,0.9169701383831027,0.9172938415473011,0.9176175447114996,0.9175366189204499,0.9174556931294003,0.917131989965202,0.9172938415473011,0.9173747673383508,0.9177793962935987,0.9176175447114996,0.9175366189204499,0.9174556931294003,0.917131989965202,0.917131989965202,0.9174556931294003,0.9176175447114996,0.9176984705025492,0.9174556931294003,0.9175366189204499,0.9176175447114996,0.9175366189204499,0.9176984705025492,0.9176175447114996,0.9177793962935987,0.917941247875698,0.9177793962935987,0.9176175447114996,0.9173747673383508,0.9176175447114996,0.9174556931294003,0.9172938415473011,0.9173747673383508,0.917131989965202,0.9175366189204499,0.9173747673383508,0.9175366189204499,0.917131989965202,0.9173747673383508,0.9173747673383508,0.9176175447114996,0.9176984705025492,0.9178603220846484
f1,0.5733501471206389,0.4951493985254172,0.4983471074380165,0.5239051828043392,0.5337672904800651,0.5444983818770227,0.5371428571428571,0.544562551103843,0.5444897959183673,0.5413595413595413,0.5432300163132137,0.5420944558521561,0.5502255022550225,0.5451546391752577,0.5534382767191384,0.5518380834365965,0.5532973869763583,0.550580431177446,0.5508333333333333,0.5544472152950956,0.5543478260869564,0.5542168674698795,0.5479566305254379,0.5521575198994554,0.5542976939203353,0.5536013400335008,0.5566750629722922,0.5624738821562891,0.5610671112963735,0.561271434546215,0.5575554625366264,0.5596983661499791,0.5642528254499791,0.5691600501462599,0.5696413678065054,0.5656903765690376,0.5660535117056856,0.5649811951525282,0.5646173149309912,0.5674885081487673,0.5658169661512746,0.5672514619883041,0.5678391959798995,0.5682102628285356,0.5703549060542797,0.5681913554343264,0.5642528254499791,0.5696308724832215,0.5680770842061165,0.565673520772136,0.5685534591194967,0.5704726056043496,0.5686686266274675,0.5655288664138222,0.5657672849915681,0.5679427850231383,0.5652906486941871,0.566610455311973,0.569023569023569,0.5703454085930919,0.5735912531539108,0.5719105862505273,0.5694972539079003,0.5701052631578948,0.573832562053008,0.5728727885425442,0.5701052631578948,0.5672144964180362,0.5681818181818181,0.5687841817416913,0.5689075630252101,0.569625578460244,0.5703485930281393,0.5699873896595208,0.569023569023569,0.57166876839008,0.5703485930281393,0.5711878685762426,0.5713080168776372,0.5705857564264645,0.5705857564264645,0.5723905723905724,0.5716694772344013,0.5722713864306785,0.5720303285593934,0.5722713864306785,0.5714285714285715,0.5707070707070707,0.5695029486099411,0.5692631578947368,0.5691467002942413,0.5680672268907563,0.5685449957947856,0.5704669751787969,0.5695086098278034,0.569386038687973,0.5649241146711634,0.5664837484170536,0.5685364824968369,0.5668494306199916,0.5664837484170536,0.5668494306199916,0.5691399662731872,0.566610455311973,0.5665961945031712,0.5693800084352594,0.5691399662731872,0.5704641350210972,0.5670757511637748,0.5670757511637748,0.5690164626424653,0.5669623996620194,0.569620253164557,0.5693800084352594,0.5667229729729729,0.5691399662731872,0.5715488215488216,0.5705857564264645,0.5707070707070707,0.5682967959527826,0.5691399662731872,0.5701052631578948,0.5723905723905724,0.5719091673675357,0.5702235343736819,0.5699831365935919,0.5686604886267902,0.569386038687973,0.5703454085930919,0.5715488215488216,0.5717894736842105,0.5707070707070707,0.57166876839008,0.5733445096395641,0.5723877465379773,0.5721497686159024,0.5722689075630252,0.5716694772344013,0.5728727885425442,0.5723905723905724,0.5715488215488216,0.5704669751787969,0.5711878685762426,0.5710681244743482,0.5709487825356844,0.5711885762284755,0.5701091519731317,0.5720285594288115,0.5711885762284755,0.5723877465379773,0.5708298407376362,0.5719077568134172,0.5711885762284755,0.5722689075630252,0.5728685426291474,0.5733501471206389
statistical_parity_difference,0.0897557798762618,0.14138466548105103,0.11729829922601007,0.10227462866017083,0.11104300778999573,0.11297397490168574,0.11480349673120757,0.11513613706384791,0.12099391328306991,0.10618315256869473,0.11154196828895624,0.10367006487488414,0.09095659143851915,0.11069208225834733,0.09613080179345239,0.09554868121133181,0.09638028204293264,0.09629712195977255,0.09110462640583122,0.09060566590687072,0.08867469879518071,0.08433208927184832,0.09127094657215139,0.08909049921098113,0.08616161110137015,0.0859121308518899,0.0864110913508504,0.08549633043608948,0.08809257821306013,0.0887578588783408,0.0858289707687298,0.09218570748691231,0.09820980387245447,0.09787716353981413,0.09746136312401371,0.09503143551336324,0.09176990707111189,0.0916867469879518,0.09185306715427197,0.09787716353981413,0.08859153871202063,0.08231796207699822,0.0859121308518899,0.08516369010344915,0.09152042682163164,0.09251834781955263,0.09201938732059214,0.08933997946046138,0.09528091576284348,0.08632793126769031,0.08306640282543896,0.09185306715427197,0.08958945970994163,0.0902547403752223,0.08724269218245123,0.08992210004258196,0.08398116374019989,0.08724269218245123,0.08381484357387972,0.08707637201613105,0.08674373168349073,0.09042106054154246,0.09075370087418279,0.0838980036570398,0.08682689176665082,0.08707637201613105,0.08699321193297098,0.08715953209929114,0.0961956766776044,0.08992210004258196,0.09276782806903289,0.09301730831851314,0.0926846679858728,0.0897557798762618,0.09000526012574205,0.09285098815219298,0.09887508453773514,0.08707637201613105,0.08431380407284021,0.08715953209929114,0.08715953209929114,0.08691005184981089,0.08724269218245123,0.08715953209929114,0.09017158029206221,0.0902547403752223,0.08715953209929114,0.09000526012574205,0.09017158029206221,0.09008842020890212,0.08666057160033064,0.08657741151717056,0.08364852340755954,0.08992210004258196,0.0926846679858728,0.08983893995942188,0.08414748390652005,0.0843969641560003,0.08423064398968014,0.08423064398968014,0.0843969641560003,0.08423064398968014,0.08724269218245123,0.08414748390652005,0.08472960448864063,0.08113543571374895,0.08414748390652005,0.08431380407284021,0.08180071637902962,0.08489592465496079,0.0843969641560003,0.08765849259825165,0.08431380407284021,0.08423064398968014,0.08448012423916038,0.08724269218245123,0.08381484357387972,0.08715953209929114,0.08691005184981089,0.08414748390652005,0.08414748390652005,0.08699321193297098,0.08381484357387972,0.08674373168349073,0.08423064398968014,0.08414748390652005,0.08398116374019989,0.08364852340755954,0.08707637201613105,0.08691005184981089,0.0838980036570398,0.08381484357387972,0.08666057160033064,0.08607845101821006,0.08942313954362147,0.08682689176665082,0.08657741151717056,0.08414748390652005,0.08707637201613105,0.08691005184981089,0.08691005184981089,0.08682689176665082,0.08707637201613105,0.08674373168349073,0.08950629962678154,0.08958945970994163,0.08950629962678154,0.08958945970994163,0.08958945970994163,0.08942313954362147,0.08917365929414121,0.08925681937730129,0.08958945970994163,0.0896726197931017,0.08958945970994163,0.0897557798762618
equal_opportunity_difference,0.03241164241164235,0.02340956340956346,0.06461538461538463,-0.0016424116424116342,0.05241164241164237,0.05361746361746367,0.07943866943866945,0.07328482328482328,0.07251559251559253,0.048565488565488535,0.08756756756756756,0.06361746361746362,0.026590436590436584,0.048565488565488535,0.028898128898128872,0.014615384615384641,0.0439501039501039,0.017692307692307674,0.0057172557172557315,0.015384615384615385,0.004178794178794187,0.0011018711018711547,0.00879417879417882,0.021538461538461562,0.0057172557172557315,0.0057172557172557315,-0.010103950103950099,-0.0035135135135134776,-0.0035135135135134776,-0.0019750519750519335,-0.026694386694386674,-0.028232848232848218,0.010000000000000009,-0.009667359667359654,0.003076923076923088,0.008461538461538465,0.007692307692307665,0.008461538461538465,0.009230769230769209,0.03471933471933464,-0.006590436590436566,-0.022411642411642396,-0.00735966735966731,-0.009667359667359654,0.01735966735966732,0.02197505197505195,0.02428274428274424,0.020436590436590407,0.02120582120582115,0.02428274428274424,0.006923076923076921,0.03241164241164235,0.02197505197505195,0.026590436590436584,0.012307692307692297,0.037796257796257726,0.012307692307692297,0.011538461538461553,0.008461538461538465,0.02197505197505195,0.03241164241164235,0.03548856548856544,0.02428274428274424,0.02197505197505195,0.03241164241164235,0.019667359667359663,0.02197505197505195,-0.0035135135135134776,0.023513513513513495,-0.0058212058212058215,0.007692307692307665,0.02197505197505195,0.020436590436590407,-0.00735966735966731,-0.0058212058212058215,0.005384615384615377,0.020436590436590407,0.02120582120582115,0.02197505197505195,0.02197505197505195,0.02197505197505195,0.019667359667359663,0.02120582120582115,0.020436590436590407,0.020436590436590407,0.020436590436590407,0.006923076923076921,0.006923076923076921,0.008461538461538465,-0.0058212058212058215,0.007692307692307665,-0.0058212058212058215,-0.0058212058212058215,0.02120582120582115,0.02120582120582115,0.007692307692307665,-0.015488565488565476,-0.016257796257796275,-0.018565488565488564,-0.01702702702702702,-0.016257796257796275,-0.01702702702702702,-0.005051975051975022,-0.01702702702702702,-0.015488565488565476,-0.019334719334719364,-0.005051975051975022,-0.0058212058212058215,-0.015488565488565476,-0.0012058212058211892,-0.004282744282744277,-0.0019750519750519335,-0.005051975051975022,-0.005051975051975022,-0.0019750519750519335,0.009230769230769209,-0.00812889812889811,0.007692307692307665,0.006923076923076921,-0.004282744282744277,-0.005051975051975022,0.007692307692307665,-0.008898128898128854,0.005384615384615377,-0.0058212058212058215,-0.0058212058212058215,-0.005051975051975022,-0.006590436590436566,0.007692307692307665,0.006153846153846176,0.006153846153846176,0.006923076923076921,0.019667359667359663,0.016590436590436575,0.03241164241164235,0.019667359667359663,0.018898128898128863,0.006923076923076921,0.019667359667359663,0.019667359667359663,0.020436590436590407,0.02120582120582115,0.02120582120582115,0.020436590436590407,0.033950103950103894,0.033950103950103894,0.03471933471933464,0.03318087318087315,0.033950103950103894,0.03241164241164235,0.03318087318087315,0.03241164241164235,0.033950103950103894,0.03318087318087315,0.03241164241164235,0.03241164241164235
average_abs_odds_difference,0.034885823374195435,0.06871784615970666,0.06920854339458991,0.03480505143295841,0.05785215936378725,0.05859493010655804,0.06984726880075719,0.06732978628327466,0.0707745198442873,0.052938894334243154,0.07022222905943837,0.056775393054462824,0.034619010781801476,0.055716039669528025,0.038783102504032725,0.03329999457906436,0.04441772558051625,0.03507155635062611,0.027519006239936483,0.03036808153087223,0.025231371394162094,0.021195484800135993,0.028964227685157933,0.031973220577871754,0.024249097853749027,0.024109237713888884,0.028660149822940517,0.02333370693835809,0.025038591201381882,0.02454908071187139,0.038753492474422696,0.04367841251562181,0.03276386404293381,0.03472200855921786,0.029302325581395353,0.030056648777579013,0.02764080880359949,0.027932184094974794,0.02836341952621021,0.04120094236373302,0.02704325320604389,0.033015871620522774,0.025722984327635468,0.02659711020176136,0.03062974423439538,0.033217156821807974,0.033951422556073696,0.030509941556453167,0.03467728584007651,0.030261933750305822,0.02167534016371226,0.03631098735749895,0.031325792372303984,0.0337267247732364,0.0266319726784843,0.0373450308334029,0.024554128042500133,0.026293977340488973,0.022770911259283357,0.02966752815590024,0.0329478388780714,0.03661076509913717,0.03299245903897065,0.02763630356653611,0.03299445892469145,0.028653542141914234,0.029620908109280194,0.02426610787075902,0.03620409236688306,0.02735793852072922,0.028200249363040046,0.03349687710152825,0.03263440623905739,0.028127169289959963,0.027404558567349264,0.02723288339567409,0.03660361532454555,0.029329532817904888,0.027869403799636344,0.029714148202520288,0.029714148202520288,0.028560302048674144,0.02942277291114498,0.029038157526529607,0.030976142022653634,0.03102276206927368,0.02421938526589689,0.026064129668780835,0.026833360438011607,0.027451178613969313,0.02427766032417194,0.025233473838125006,0.023342109388621017,0.03117427722078882,0.032972401577052717,0.026308884913536064,0.030160393765044924,0.030731489336140512,0.0319319555366067,0.031069484674135835,0.030731489336140512,0.031069484674135835,0.02517519877984993,0.03102286462751579,0.030486734091385248,0.030378586425098067,0.02319059423710585,0.023715069761581387,0.028595369641881262,0.02145399750050912,0.02289921894573057,0.02368335728800843,0.02328383433034594,0.023237214283725896,0.021652132698644307,0.025279991326502944,0.024729055775567395,0.024557380603892218,0.02407952512603675,0.02275935880587043,0.02319059423710585,0.024464140510652124,0.025160291206802812,0.02331029435680598,0.02366844971496134,0.023621829668341296,0.023097354143865757,0.023773344819856435,0.024510760557272172,0.023741529788041428,0.0218035452919174,0.02209492058329268,0.028420441908814,0.02674212023049232,0.034699343187715254,0.028513682002054095,0.0280358265241986,0.022281400769772863,0.028653542141914234,0.028560302048674144,0.028898297386669467,0.029189672678044745,0.029329532817904888,0.028805057293429373,0.03542195391032598,0.035468573956946026,0.03575994924832131,0.0351305786189507,0.035468573956946026,0.034699343187715254,0.034897478385850465,0.03460610309447516,0.035468573956946026,0.035177198665570744,0.034792583280955344,0.034885823374195435
disparate_impact,0.7595510181826947,0.9207786381085447,0.8917102964192813,0.7742944591513508,0.8374183627303857,0.840008922042391,0.8615572582485939,0.8655255174242145,0.8933923826022662,0.8200000319558298,0.8433238917044271,0.8099877324540115,0.7353202438853303,0.8538211699836638,0.7785731103978297,0.771462872215325,0.7816358999283756,0.7806139274326823,0.7563947820012573,0.7502219228941762,0.7459453661269161,0.7114316412551271,0.7584608984387292,0.7511564253396682,0.7341833982385431,0.7310502364065061,0.7373264076357424,0.7258500166793987,0.7386952049018564,0.74698540782233,0.7300080268280623,0.7699014808406223,0.8043876569117915,0.8002122855013108,0.7950174686242067,0.7852033586330323,0.7646849849217312,0.7636449432263169,0.7657261094301414,0.8002122855013108,0.744906404994497,0.7054283384092299,0.7310502364065061,0.7217092240133675,0.761568099281478,0.7740943591006582,0.767811615921163,0.754296145344336,0.7883397961231624,0.7362776398416577,0.7147887811687934,0.7657261094301414,0.7574457542472324,0.7658935341591652,0.7478750286564869,0.7616607236065442,0.7263496035698696,0.7478750286564869,0.7242376703667259,0.7457563837962015,0.7415325126800165,0.7680166772072429,0.7722765345542004,0.7252930794356695,0.7425868090349226,0.7457563837962015,0.7446987422380662,0.7468151451444436,0.7999249704583922,0.7616607236065442,0.7772505952820957,0.7804168248401452,0.7761974092974369,0.7595510181826947,0.7627172477407445,0.7783048916370017,0.8127910677081711,0.7457563837962015,0.7305868980453847,0.7468151451444436,0.7468151451444436,0.7436422181038661,0.7478750286564869,0.7468151451444436,0.7648336506471219,0.7658935341591652,0.7468151451444436,0.7627172477407445,0.7648336506471219,0.7637748892988798,0.7404793266953578,0.739427248744554,0.7221301880271612,0.7616607236065442,0.7761974092974369,0.7606053145376008,0.7284660064762469,0.7316490330363681,0.7295258899882904,0.7295258899882904,0.7316490330363681,0.7295258899882904,0.7478750286564869,0.7284660064762469,0.7359088903833256,0.7097738734640944,0.7284660064762469,0.7305868980453847,0.7182845631320032,0.7380456433330607,0.7316490330363681,0.7531913622837197,0.7305868980453847,0.7295258899882904,0.7327122973576982,0.7478750286564869,0.7242376703667259,0.7468151451444436,0.7436422181038661,0.7284660064762469,0.7284660064762469,0.7446987422380662,0.7242376703667259,0.7415325126800165,0.7295258899882904,0.7284660064762469,0.7263496035698696,0.7221301880271612,0.7457563837962015,0.7436422181038661,0.7252930794356695,0.7242376703667259,0.7404793266953578,0.7331379198369901,0.7553449131384206,0.7425868090349226,0.739427248744554,0.7284660064762469,0.7457563837962015,0.7436422181038661,0.7436422181038661,0.7425868090349226,0.7457563837962015,0.7415325126800165,0.7563947820012572,0.7574457542472324,0.7563947820012572,0.7574457542472324,0.7574457542472324,0.7553449131384206,0.7522019037412214,0.7532484763118923,0.7574457542472324,0.7584978321980359,0.7574457542472324,0.7595510181826947
theil_index,0.0676683296627754,0.0782100478178858,0.0779562894744135,0.07423713281379876,0.0729182165972022,0.07135746990413273,0.07246442803054344,0.07143216060295274,0.07142979420932451,0.07189456094608693,0.07160098072146125,0.07181219104566437,0.0706593566270353,0.07141400012069891,0.0702941359059261,0.07049378451488707,0.07032372955861572,0.07069827933764845,0.07070118778831197,0.07018064615365936,0.07024051533997366,0.07020928621161587,0.07110567615975542,0.07055876332835848,0.0702699918146182,0.07035644230138387,0.06995221301492162,0.06911422816258771,0.06928715268847759,0.06928754174634318,0.0698075166906888,0.06951869586836523,0.068883166391559,0.06819018592888007,0.0681037894778934,0.06868100483933993,0.06862330668605494,0.06876771232494734,0.0688254436259699,0.06842119648730699,0.06865220704573388,0.06845010433597995,0.06839203418776896,0.06830582376208408,0.06801705628889472,0.06836267379972585,0.068883166391559,0.06816049621405898,0.06836306535726162,0.06870947859320148,0.06830509235330103,0.06801677191531663,0.06830462575565498,0.06876614978491738,0.06873707148408974,0.06841970697904536,0.06879521626774275,0.06862136375008424,0.06827496821109863,0.06810108573559562,0.06763921609844259,0.06789795961482059,0.06824423445940579,0.06813019832539775,0.06761009071608533,0.06775402046952203,0.06813019832539777,0.0685347536304991,0.06839063732758756,0.06830404751290821,0.06827558403632686,0.06818838804677106,0.0680733839940003,0.06813089034382976,0.06827496821109864,0.0678996100033026,0.0680733839940003,0.06798539731357109,0.06798451709965174,0.06807196132166254,0.06807196132166254,0.06781229174514289,0.06792711734605124,0.06784056516724427,0.06786970889154657,0.06784056516724427,0.0679562632444534,0.06804362997812076,0.06821677415762015,0.06824587709384904,0.06824653051409335,0.06839121456106788,0.06833311500281562,0.06807272858063393,0.06818900487482764,0.06821746518542011,0.06885277921809523,0.06864976563817679,0.06836082918447663,0.06859226396930466,0.06864976563817679,0.06859226396930468,0.06827424054806774,0.06862136375008424,0.0686489675533749,0.06824511179206263,0.06827424054806773,0.06810024415208682,0.06859062909962998,0.06859062909962998,0.06830255549596943,0.06859150258593884,0.06821597120452191,0.06824511179206262,0.06862064002991776,0.06827424054806774,0.06792796086163183,0.06807196132166254,0.06804362997812076,0.06838994828207323,0.06827424054806773,0.06813019832539777,0.06781229174514289,0.06787051573323362,0.0681293943996486,0.06815853281406224,0.06833246257964466,0.06821746518542011,0.06810108573559562,0.06792796086163183,0.06789884078849526,0.06804362997812077,0.0678996100033026,0.06764064863467438,0.06778466581059982,0.06784140964835962,0.06781306193736286,0.06792711734605124,0.06775402046952203,0.06781229174514289,0.06792796086163183,0.06807272858063393,0.06798539731357107,0.06798616555062911,0.06798682196004394,0.06795776311317295,0.06810243319856615,0.0678421422323456,0.06795776311317293,0.06778466581059982,0.06798736669081107,0.06784276306828521,0.06795776311317293,0.06781306193736285,0.06772652135151826,0.0676683296627754
