,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
accuracy,0.7233333333333334,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6766666666666666,0.6766666666666666,0.6766666666666666,0.6733333333333333,0.6833333333333333,0.69,0.71,0.71,0.7166666666666667,0.7,0.71,0.7033333333333334,0.7033333333333334,0.71,0.7133333333333334,0.7266666666666667,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7166666666666667,0.72,0.7233333333333334,0.7266666666666667,0.7233333333333334,0.7233333333333334,0.72,0.7266666666666667,0.7266666666666667,0.7233333333333334,0.7266666666666667,0.7266666666666667,0.74,0.7366666666666667,0.7433333333333333,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.74,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.75,0.7466666666666667,0.7433333333333333,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.75,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7366666666666667,0.74,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.73,0.7366666666666667,0.74,0.7366666666666667,0.7266666666666667,0.73,0.72,0.7233333333333334,0.7166666666666667,0.7166666666666667,0.72,0.7233333333333334,0.7233333333333334,0.73,0.73,0.73,0.7233333333333334,0.73,0.72,0.7233333333333334,0.7266666666666667,0.7233333333333334
f1,0.8134831460674159,0.8047808764940239,0.8047808764940239,0.8047808764940239,0.8047808764940239,0.8047808764940239,0.8063872255489022,0.8063872255489022,0.8063872255489022,0.8039999999999999,0.8088531187122736,0.8098159509202453,0.8198757763975155,0.819126819126819,0.8225469728601252,0.8117154811715481,0.8168421052631578,0.8118393234672304,0.8118393234672304,0.8168421052631578,0.8185654008438817,0.8262711864406779,0.8237791932059448,0.8222698072805139,0.8222698072805139,0.8179871520342612,0.8189655172413793,0.8207343412526998,0.8225108225108223,0.8207343412526998,0.821505376344086,0.8189655172413793,0.8225108225108223,0.8225108225108223,0.8207343412526998,0.8225108225108223,0.8225108225108223,0.8296943231441049,0.8278867102396514,0.8322440087145969,0.8340611353711791,0.8340611353711791,0.8340611353711791,0.8340611353711791,0.8340611353711791,0.8307692307692307,0.8307692307692307,0.8300220750551877,0.8300220750551877,0.8307692307692307,0.8307692307692307,0.8281938325991189,0.8292682926829269,0.8300220750551877,0.8300220750551877,0.831858407079646,0.831858407079646,0.831858407079646,0.8337028824833702,0.8311111111111111,0.8292682926829269,0.831858407079646,0.8311111111111111,0.8311111111111111,0.8311111111111111,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8329621380846326,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8248337028824834,0.827433628318584,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.8195991091314031,0.8248337028824834,0.8266666666666668,0.8240534521158129,0.8161434977578476,0.8187919463087248,0.8108108108108107,0.8134831460674159,0.8081264108352144,0.8081264108352144,0.8099547511312216,0.8134831460674159,0.8126410835214448,0.8179775280898877,0.8179775280898877,0.8179775280898877,0.8126410835214448,0.8179775280898877,0.8108108108108107,0.8134831460674159,0.8161434977578476,0.8134831460674159
statistical_parity_difference,0.11142317563314122,0.0,0.0,0.0,0.0,0.0,-0.0051813471502590676,-0.0051813471502590676,-0.0051813471502590676,0.004164447242264296,0.01767468887705196,0.04885961938889158,0.09040724420124933,0.05099026681516634,0.0406275725146482,0.07902764999273643,0.06348360854195921,0.06764805578422352,0.06764805578422352,0.0489564669991768,0.04377511984891773,0.062466708633964446,0.07181250302648781,0.08014139751101641,0.08014139751101641,0.06561425596823398,0.07912449760302163,0.088470291995545,0.08328894484528594,0.088470291995545,0.0843058447532807,0.09365163914580407,0.08328894484528594,0.08328894484528594,0.088470291995545,0.08328894484528594,0.1123432279308508,0.09161783932981453,0.0967991864800736,0.0967991864800736,0.10614498087259697,0.10614498087259697,0.10614498087259697,0.10614498087259697,0.10614498087259697,0.1051280809646022,0.09060093942181977,0.09476538666408407,0.09476538666408407,0.1051280809646022,0.1051280809646022,0.09994673381434313,0.09892983390634835,0.08023824512130162,0.08023824512130162,0.08958403951382499,0.08958403951382499,0.08958403951382499,0.09892983390634835,0.10827562829887172,0.09892983390634835,0.08958403951382499,0.0937484867560893,0.0937484867560893,0.0937484867560893,0.09892983390634835,0.09892983390634835,0.09892983390634835,0.09892983390634835,0.10309428114861266,0.09892983390634835,0.09892983390634835,0.09892983390634835,0.09892983390634835,0.1134569754491308,0.10411118105660744,0.10827562829887172,0.10827562829887172,0.10827562829887172,0.10309428114861266,0.09892983390634835,0.0937484867560893,0.10309428114861266,0.1166045227834003,0.10725872839087694,0.12076897002566458,0.12595031717592367,0.13011476441818795,0.13011476441818795,0.13946055881071132,0.12595031717592367,0.13011476441818795,0.12595031717592367,0.12595031717592367,0.12595031717592367,0.13011476441818795,0.12595031717592367,0.12076897002566458,0.11142317563314122,0.10207738124061785,0.11142317563314122
equal_opportunity_difference,0.11386353759235118,0.0,0.0,0.0,0.0,0.0,-0.01694915254237288,-0.01694915254237288,-0.01694915254237288,-0.01694915254237288,0.017383746197305518,0.06040851803563667,0.17166449369839198,0.06953498478922207,0.035636679704476315,0.06953498478922207,0.018687527162103423,0.018687527162103423,0.018687527162103423,0.018687527162103423,0.0017383746197305316,0.036071273359408934,0.036071273359408934,0.0021729682746631784,0.0021729682746631784,-0.023468057366362427,0.02781399391568884,0.0534550195567145,0.03650586701434161,0.0534550195567145,0.07040417209908736,0.07040417209908736,0.03650586701434161,0.03650586701434161,0.0534550195567145,0.03650586701434161,0.12168622338113863,0.05388961321164709,0.07083876575401998,0.09647979139504564,0.12212081703607125,0.12212081703607125,0.12212081703607125,0.12212081703607125,0.12212081703607125,0.1477618426770969,0.10517166449369836,0.13081269013472402,0.13081269013472402,0.1477618426770969,0.1477618426770969,0.1477618426770969,0.11386353759235118,0.08822251195132552,0.08822251195132552,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.13950456323337684,0.13950456323337684,0.11386353759235118,0.11386353759235118,0.09691438504997829,0.09691438504997829,0.09691438504997829,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.12255541069100395,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.13081269013472402,0.13081269013472402,0.13081269013472402,0.13081269013472402,0.13081269013472402,0.13081269013472402,0.13081269013472402,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.13950456323337684,0.11386353759235118,0.13950456323337684,0.13950456323337684,0.13950456323337684,0.13950456323337684,0.13950456323337684,0.13950456323337684,0.11386353759235118,0.11386353759235118,0.11386353759235118,0.11386353759235118
average_abs_odds_difference,0.10050068890153117,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.01582751744765703,0.016044814275123345,0.04853173926364801,0.10415972709502566,0.04936362935685862,0.03241447681448574,0.07142245288627039,0.045998724072711064,0.04962032196559956,0.04962032196559956,0.03491443961265839,0.026439863341471942,0.04733765599489323,0.05469059717136382,0.052447326981932114,0.052447326981932114,0.05936352824419965,0.057805153235280765,0.0706256660557936,0.06215108978460715,0.0706256660557936,0.07174730115050944,0.07910024232698003,0.06215108978460715,0.06215108978460715,0.0706256660557936,0.06215108978460715,0.10474126796800566,0.07084296288325989,0.07931753915444634,0.08478511079848858,0.09760562361900138,0.09760562361900138,0.09760562361900138,0.09760562361900138,0.09760562361900138,0.10296344987235004,0.08166836078065076,0.09075753031758149,0.09075753031758149,0.10296344987235004,0.10296344987235004,0.09923210658876794,0.08963589522286566,0.06946244122588224,0.06946244122588224,0.08228295404639507,0.08228295404639507,0.08228295404639507,0.0951034668669079,0.1024564080433785,0.08963589522286566,0.08228295404639507,0.08116131895167922,0.08116131895167922,0.08116131895167922,0.08963589522286566,0.08963589522286566,0.08963589522286566,0.08963589522286566,0.09398183177219205,0.08963589522286566,0.08963589522286566,0.08963589522286566,0.08963589522286566,0.10546341267052267,0.09811047149405208,0.10173206938694059,0.10173206938694059,0.10173206938694059,0.0980007261033585,0.09437912821047,0.08590455193928358,0.09325749311575417,0.10423203218511326,0.09687909100864267,0.10785363007800176,0.11158497336158385,0.11520657125447234,0.11520657125447234,0.12802708407498517,0.11158497336158385,0.1206741428985146,0.11705254500562609,0.11705254500562609,0.11705254500562609,0.1206741428985146,0.11705254500562609,0.10785363007800176,0.10050068890153117,0.09314774772506058,0.10050068890153117
disparate_impact,0.5547700346317092,,,,,,-inf,-inf,-inf,0.5898613544429793,0.9953264625511437,1.0598649836887148,1.3630512426764612,0.6851715342473043,0.5028499774533497,0.9263335910641923,0.6639693265967012,0.6588542259299309,0.6588542259299309,0.5157533822892576,0.44676051080230605,0.5898613544429793,0.6543998755805505,0.6470197682829281,0.6470197682829281,0.5327029406030307,0.5898613544429793,0.6411546488305297,0.5898613544429794,0.6411546488305297,0.6439285757132551,0.6952218701008056,0.5898613544429794,0.5898613544429794,0.6411546488305297,0.5898613544429794,0.7905320499051305,0.5898613544429793,0.6363813700778723,0.6363813700778723,0.6808331326487062,0.6808331326487062,0.6808331326487062,0.6808331326487062,0.6808331326487062,0.6324209688617753,0.5473017400241835,0.5490393599227243,0.5490393599227243,0.6324209688617753,0.6324209688617753,0.5898613544429794,0.550640641289698,0.467259032350647,0.467259032350647,0.509818646769443,0.509818646769443,0.509818646769443,0.550640641289698,0.5898613544429793,0.550640641289698,0.509818646769443,0.512900313306851,0.512900313306851,0.512900313306851,0.550640641289698,0.550640641289698,0.550640641289698,0.550640641289698,0.5521210264601323,0.550640641289698,0.550640641289698,0.550640641289698,0.550640641289698,0.6290820675962607,0.5898613544429794,0.5898613544429793,0.5898613544429793,0.5898613544429793,0.5521210264601323,0.550640641289698,0.512900313306851,0.5521210264601323,0.5898613544429793,0.5534937102721045,0.5898613544429792,0.6249526742542495,0.6237629061186606,0.6237629061186606,0.6565527289416514,0.6249526742542495,0.6237629061186606,0.6249526742542495,0.6249526742542495,0.6249526742542495,0.6237629061186606,0.6249526742542495,0.5898613544429792,0.5547700346317092,0.5184023904608344,0.5547700346317092
theil_index,0.2593566584528708,0.39551477725499623,0.39551477725499623,0.39551477725499623,0.39551477725499623,0.39551477725499623,0.3905764956144137,0.3905764956144137,0.3905764956144137,0.39245804140570956,0.3777607555991408,0.35893596952611767,0.330711073792202,0.3276935364050486,0.31848861381000065,0.33231984214922106,0.3184899684336606,0.32137750704003054,0.32137750704003054,0.3184899684336606,0.313922100032828,0.29887295009264647,0.30034211074268563,0.294215766479715,0.294215766479715,0.3000651097755795,0.2924582693702043,0.28801264628354895,0.2835866176459556,0.28801264628354895,0.2911232657051037,0.2924582693702043,0.2835866176459556,0.2835866176459556,0.28801264628354895,0.2835866176459556,0.2835866176459556,0.26607505390041825,0.2704243960846932,0.2647660517535916,0.2604397109690367,0.2604397109690367,0.2604397109690367,0.2604397109690367,0.2604397109690367,0.25870639222586533,0.25870639222586533,0.2556527269813036,0.2556527269813036,0.2587063922258653,0.2587063922258653,0.2599540410166685,0.2525843512124688,0.25565272698130354,0.25565272698130354,0.2513697405403273,0.2513697405403273,0.2513697405403273,0.2471049268602163,0.24831598486915402,0.2525843512124688,0.25136974054032724,0.24831598486915402,0.24831598486915402,0.24831598486915402,0.2525843512124688,0.2525843512124688,0.2525843512124688,0.2525843512124688,0.24406565662247434,0.2525843512124688,0.2525843512124688,0.2525843512124688,0.2525843512124688,0.2580637755647213,0.2568709086400094,0.25923168850001926,0.25923168850001926,0.25923168850001926,0.26037500204741426,0.2580637755647213,0.25377383668458664,0.25493855357243433,0.2582875688911644,0.25719507793716,0.26040267419697166,0.25935665845287076,0.26142593823679294,0.26142593823679294,0.2571355674819649,0.25935665845287076,0.256114465588824,0.254004170572099,0.254004170572099,0.254004170572099,0.256114465588824,0.254004170572099,0.26040267419697166,0.2593566584528708,0.2582875688911644,0.2593566584528708
