,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149
accuracy,0.6966666666666667,0.7,0.68,0.68,0.7033333333333334,0.6966666666666667,0.7066666666666667,0.71,0.7133333333333334,0.7133333333333334,0.72,0.7133333333333334,0.7133333333333334,0.7166666666666667,0.72,0.7133333333333334,0.71,0.7166666666666667,0.7166666666666667,0.7133333333333334,0.7266666666666667,0.73,0.7266666666666667,0.7333333333333333,0.74,0.7433333333333333,0.73,0.7233333333333334,0.7266666666666667,0.71,0.7166666666666667,0.7133333333333334,0.7,0.7,0.7033333333333334,0.7,0.7,0.6966666666666667,0.7,0.7,0.7033333333333334,0.7,0.7,0.7,0.6966666666666667,0.6933333333333334,0.6933333333333334,0.6966666666666667,0.7,0.6966666666666667,0.7033333333333334,0.7066666666666667,0.7066666666666667,0.7,0.7033333333333334,0.71,0.7066666666666667,0.71,0.7166666666666667,0.71,0.7066666666666667,0.7066666666666667,0.71,0.7066666666666667,0.7033333333333334,0.7066666666666667,0.7033333333333334,0.7033333333333334,0.7033333333333334,0.7033333333333334,0.6966666666666667,0.7033333333333334,0.7033333333333334,0.7033333333333334,0.7033333333333334,0.7033333333333334,0.7033333333333334,0.7,0.7,0.7,0.7,0.7,0.7033333333333334,0.7033333333333334,0.7066666666666667,0.7033333333333334,0.7,0.7033333333333334,0.6966666666666667,0.7,0.6966666666666667,0.6966666666666667,0.6966666666666667,0.7033333333333334,0.6966666666666667,0.6966666666666667,0.7,0.6966666666666667,0.7,0.7,0.6966666666666667,0.6966666666666667,0.7,0.7,0.7,0.7,0.7033333333333334,0.7,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6966666666666667,0.6966666666666667,0.69,0.6933333333333334,0.6933333333333334,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.6933333333333334,0.6966666666666667,0.7,0.7,0.6966666666666667,0.7,0.7,0.7,0.7,0.7,0.6966666666666667,0.6966666666666667,0.6966666666666667,0.7033333333333334,0.7033333333333334,0.7,0.6966666666666667
f1,0.5235602094240838,0.4578313253012048,0.42168674698795183,0.4666666666666667,0.518918918918919,0.5027322404371584,0.5164835164835164,0.5245901639344261,0.5113636363636364,0.5168539325842696,0.5483870967741935,0.5376344086021505,0.5274725274725275,0.5142857142857142,0.5333333333333333,0.532608695652174,0.5245901639344261,0.5303867403314917,0.53551912568306,0.532608695652174,0.5591397849462365,0.5474860335195532,0.5494505494505494,0.5698924731182796,0.5806451612903226,0.5649717514124294,0.5474860335195532,0.5414364640883977,0.5393258426966293,0.5139664804469274,0.519774011299435,0.5222222222222221,0.5054945054945055,0.5054945054945055,0.518918918918919,0.5108695652173912,0.5054945054945055,0.5027322404371584,0.5108695652173912,0.5108695652173912,0.5136612021857924,0.5108695652173912,0.5108695652173912,0.5108695652173912,0.508108108108108,0.5,0.5,0.508108108108108,0.5054945054945055,0.508108108108108,0.5240641711229946,0.5217391304347826,0.5268817204301075,0.5108695652173912,0.5240641711229946,0.5347593582887701,0.5319148936170213,0.5347593582887701,0.5502645502645502,0.5396825396825397,0.5319148936170213,0.5319148936170213,0.544502617801047,0.5368421052631579,0.5340314136125655,0.5416666666666666,0.5340314136125655,0.5340314136125655,0.5340314136125655,0.5340314136125655,0.5235602094240838,0.5388601036269429,0.5388601036269429,0.5388601036269429,0.5388601036269429,0.5388601036269429,0.5388601036269429,0.53125,0.53125,0.53125,0.53125,0.5360824742268041,0.5340314136125655,0.5388601036269429,0.5416666666666666,0.5340314136125655,0.53125,0.5340314136125655,0.5235602094240838,0.53125,0.5235602094240838,0.5235602094240838,0.5235602094240838,0.5340314136125655,0.5235602094240838,0.5235602094240838,0.5263157894736843,0.5284974093264249,0.53125,0.53125,0.5284974093264249,0.5284974093264249,0.53125,0.53125,0.53125,0.53125,0.5388601036269429,0.53125,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.5235602094240838,0.5235602094240838,0.5130890052356021,0.5208333333333333,0.5208333333333333,0.5130890052356021,0.5130890052356021,0.5130890052356021,0.5130890052356021,0.5130890052356021,0.5130890052356021,0.5130890052356021,0.5130890052356021,0.5157894736842105,0.5235602094240838,0.5263157894736843,0.5263157894736843,0.5235602094240838,0.5263157894736843,0.5263157894736843,0.5263157894736843,0.5263157894736843,0.5263157894736843,0.5235602094240838,0.5235602094240838,0.5235602094240838,0.5340314136125655,0.5340314136125655,0.5263157894736843,0.5235602094240838
statistical_parity_difference,-0.14301029159519718,-0.067967409948542,-0.05188679245283023,-0.09841337907375647,-0.09090909090909094,-0.08426243567753011,-0.1050600343053174,-0.08426243567753011,-0.10120068610634658,-0.07568610634648365,-0.07011149228130364,-0.08619210977701541,-0.08897941680960553,-0.05767581475128647,-0.09841337907375647,-0.09562607204116647,-0.08426243567753011,-0.09369639794168105,-0.06818181818181823,-0.09562607204116647,-0.08619210977701541,-0.07096912521440824,-0.07289879931389376,-0.10227272727272729,-0.07011149228130364,-0.0643224699828473,-0.11921097770154376,-0.1258576329331047,-0.12392795883361929,-0.11921097770154376,-0.09648370497427106,-0.09841337907375647,-0.1050600343053174,-0.12114065180102918,-0.13915094339622647,-0.14386792452830188,-0.13722126929674106,-0.11642367066895376,-0.11170668953687823,-0.11170668953687823,-0.11642367066895376,-0.12778730703259011,-0.11170668953687823,-0.12778730703259011,-0.12307032590051459,-0.12778730703259011,-0.12778730703259011,-0.12307032590051459,-0.12114065180102918,-0.12307032590051459,-0.11363636363636365,-0.11170668953687823,-0.10227272727272729,-0.12778730703259011,-0.11363636363636365,-0.11363636363636365,-0.125,-0.11363636363636365,-0.13636363636363635,-0.12028301886792447,-0.125,-0.10891938250428812,-0.11084905660377353,-0.11556603773584906,-0.1269296740994854,-0.12221269296740989,-0.1269296740994854,-0.1269296740994854,-0.11084905660377353,-0.1269296740994854,-0.1269296740994854,-0.14965694682675812,-0.14965694682675812,-0.14965694682675812,-0.14965694682675812,-0.14965694682675812,-0.14965694682675812,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.16102058319039447,-0.1269296740994854,-0.13357632933104624,-0.12221269296740989,-0.1269296740994854,-0.13829331046312177,-0.1269296740994854,-0.14301029159519718,-0.13829331046312177,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.1269296740994854,-0.14301029159519718,-0.14301029159519718,-0.13164665523156083,-0.13357632933104624,-0.12221269296740989,-0.12221269296740989,-0.13357632933104624,-0.13357632933104624,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.14965694682675812,-0.15437392795883353,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.13829331046312177,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.13829331046312177,-0.13829331046312177,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.1477272727272727,-0.14301029159519718,-0.1477272727272727,-0.1477272727272727,-0.14301029159519718,-0.1477272727272727,-0.1477272727272727,-0.1477272727272727,-0.1477272727272727,-0.1477272727272727,-0.14301029159519718,-0.14301029159519718,-0.14301029159519718,-0.15909090909090906,-0.15909090909090906,-0.1477272727272727,-0.14301029159519718
equal_opportunity_difference,-0.13657407407407407,0.0023148148148147696,-0.0023148148148147696,-0.05555555555555558,-0.08796296296296291,-0.08796296296296291,-0.10185185185185186,-0.05092592592592593,-0.07870370370370372,-0.04629629629629639,-0.07638888888888884,-0.06944444444444442,-0.05787037037037035,-0.03472222222222221,-0.0717592592592593,-0.07638888888888884,-0.07638888888888884,-0.09027777777777779,-0.05787037037037035,-0.07638888888888884,-0.05787037037037035,-0.03472222222222221,-0.04629629629629639,-0.09027777777777779,-0.0717592592592593,-0.00462962962962965,-0.08564814814814814,-0.09722222222222221,-0.08564814814814814,-0.1157407407407407,-0.10416666666666663,-0.1157407407407407,-0.12037037037037046,-0.12037037037037046,-0.13888888888888895,-0.13888888888888895,-0.12037037037037046,-0.08796296296296291,-0.08796296296296291,-0.08796296296296291,-0.09490740740740733,-0.11342592592592593,-0.08796296296296291,-0.11342592592592593,-0.10648148148148151,-0.10648148148148151,-0.10648148148148151,-0.10648148148148151,-0.09490740740740733,-0.10648148148148151,-0.10648148148148151,-0.09490740740740733,-0.08796296296296291,-0.11342592592592593,-0.10648148148148151,-0.11342592592592593,-0.13194444444444442,-0.11342592592592593,-0.11342592592592593,-0.10648148148148151,-0.10648148148148151,-0.10648148148148151,-0.09953703703703709,-0.09953703703703709,-0.11805555555555558,-0.11805555555555558,-0.11805555555555558,-0.11805555555555558,-0.11805555555555558,-0.11805555555555558,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.15509259259259256,-0.11805555555555558,-0.13657407407407407,-0.11805555555555558,-0.11805555555555558,-0.13657407407407407,-0.11805555555555558,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.11805555555555558,-0.13657407407407407,-0.13657407407407407,-0.11805555555555558,-0.12962962962962965,-0.11111111111111116,-0.11111111111111116,-0.12962962962962965,-0.12962962962962965,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.13657407407407407,-0.13657407407407407,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.12962962962962965,-0.13657407407407407,-0.13657407407407407,-0.1435185185185185,-0.1435185185185185,-0.13657407407407407,-0.1435185185185185,-0.1435185185185185,-0.1435185185185185,-0.1435185185185185,-0.1435185185185185,-0.13657407407407407,-0.13657407407407407,-0.13657407407407407,-0.1435185185185185,-0.1435185185185185,-0.1435185185185185,-0.13657407407407407
average_abs_odds_difference,0.11975762527233114,0.07468681917211328,0.052627995642701486,0.09395424836601307,0.0660403050108932,0.058687363834422634,0.08033769063180829,0.0695806100217865,0.0834694989106754,0.05991285403050112,0.03819444444444442,0.06413398692810457,0.07305283224400871,0.03941993464052285,0.07999727668845319,0.07495915032679734,0.06025326797385616,0.06719771241830064,0.043641067538126355,0.07495915032679734,0.0656998910675381,0.054125816993464027,0.052559912854030555,0.07455065359477125,0.03587962962962965,0.053785403050108926,0.10164760348583879,0.10743464052287582,0.10900054466230935,0.09463507625272327,0.0667892156862745,0.06522331154684091,0.07489106753812641,0.09694989106753815,0.11356209150326801,0.12091503267973858,0.11900871459694995,0.10280501089324617,0.09545206971677556,0.09545206971677556,0.09892429193899777,0.10818355119825707,0.09545206971677556,0.10818355119825707,0.10471132897603486,0.11206427015250547,0.11206427015250547,0.10471132897603486,0.10627723311546838,0.10471132897603486,0.09000544662309368,0.0915713507625272,0.08074618736383438,0.10818355119825707,0.09000544662309368,0.08612472766884532,0.09538398692810457,0.08612472766884532,0.11553649237472768,0.0973583877995643,0.10471132897603486,0.08265250544662311,0.08653322440087147,0.09388616557734208,0.10314542483660133,0.09579248366013071,0.10314542483660133,0.10314542483660133,0.08108660130718953,0.10314542483660133,0.0976988017429194,0.12711056644880175,0.12711056644880175,0.12711056644880175,0.12711056644880175,0.12711056644880175,0.12711056644880175,0.11240468409586057,0.11240468409586057,0.11240468409586057,0.11240468409586057,0.136369825708061,0.10314542483660133,0.10505174291938996,0.09579248366013071,0.10314542483660133,0.11240468409586057,0.10314542483660133,0.11975762527233114,0.11240468409586057,0.11975762527233114,0.11975762527233114,0.11975762527233114,0.10314542483660133,0.11975762527233114,0.11975762527233114,0.11049836601307189,0.10893246187363836,0.09967320261437912,0.09967320261437912,0.10893246187363836,0.10893246187363836,0.11240468409586057,0.11240468409586057,0.11240468409586057,0.11240468409586057,0.12711056644880175,0.13446350762527232,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11628540305010893,0.11975762527233114,0.11975762527233114,0.12363834422657954,0.11628540305010893,0.11628540305010893,0.12363834422657954,0.12363834422657954,0.12363834422657954,0.12363834422657954,0.12363834422657954,0.12363834422657954,0.12363834422657954,0.12363834422657954,0.12711056644880175,0.11975762527233114,0.12322984749455335,0.12322984749455335,0.11975762527233114,0.12322984749455335,0.12322984749455335,0.12322984749455335,0.12322984749455335,0.12322984749455335,0.11975762527233114,0.11975762527233114,0.11975762527233114,0.13793572984749453,0.13793572984749453,0.12322984749455335,0.11975762527233114
disparate_impact,-0.2130536592810388,-0.0880268264132167,-0.06689423483003035,-0.13696329670723695,-0.12921173148000623,-0.11838691113430166,-0.14790386449215887,-0.11838691113430166,-0.13839376594063668,-0.10362687643964497,-0.09945890124878264,-0.12290256228674146,-0.12461746088493766,-0.07748224123885979,-0.13696329670723695,-0.13548134449360175,-0.11838691113430166,-0.13080943113285873,-0.0953101798043249,-0.13548134449360175,-0.12290256228674146,-0.0974730108652669,-0.10157979281792034,-0.1466034741918754,-0.09945890124878264,-0.08736635556786476,-0.16625300316035535,-0.17756569979584244,-0.17229531761631806,-0.16625300316035535,-0.13235145148467398,-0.13696329670723695,-0.14790386449215887,-0.17144947277840616,-0.2010136898061072,-0.20716755538048548,-0.19526527689524334,-0.16529560720402808,-0.15910363695610694,-0.15910363695610694,-0.16529560720402808,-0.18299518430342887,-0.15910363695610694,-0.18299518430342887,-0.17680321405550786,-0.18299518430342887,-0.18299518430342887,-0.17680321405550786,-0.17144947277840616,-0.17680321405550786,-0.1643030512912763,-0.15910363695610694,-0.1466034741918754,-0.18299518430342887,-0.1643030512912763,-0.1643030512912763,-0.1823215567939546,-0.1643030512912763,-0.2006706954621511,-0.17601238760068988,-0.1823215567939546,-0.15799388209801155,-0.16327336182326005,-0.16966315992203113,-0.18801229859022767,-0.18162250049145662,-0.18801229859022767,-0.18801229859022767,-0.16327336182326005,-0.18801229859022767,-0.18801229859022767,-0.22575262657307474,-0.22575262657307474,-0.22575262657307474,-0.22575262657307474,-0.22575262657307474,-0.22575262657307474,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.2451707124301762,-0.18801229859022767,-0.2003146335036091,-0.18162250049145662,-0.18801229859022767,-0.20670443160238025,-0.18801229859022767,-0.2130536592810388,-0.20670443160238025,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.18801229859022767,-0.2130536592810388,-0.2130536592810388,-0.19436152626888642,-0.2003146335036091,-0.18162250049145662,-0.18162250049145662,-0.2003146335036091,-0.2003146335036091,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.22575262657307474,-0.2321018542517333,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.20670443160238025,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.20670443160238025,-0.20670443160238025,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.21936282847430363,-0.2130536592810388,-0.21936282847430363,-0.21936282847430363,-0.2130536592810388,-0.21936282847430363,-0.21936282847430363,-0.21936282847430363,-0.21936282847430363,-0.21936282847430363,-0.2130536592810388,-0.2130536592810388,-0.2130536592810388,-0.2384110234449981,-0.2384110234449981,-0.21936282847430363,-0.2130536592810388
theil_index,0.18789016839155692,0.14323018601245147,0.1555345738330422,0.17976013684903644,0.1732618906816203,0.17418709676828448,0.16602033861984875,0.16554974872392378,0.15167977658862375,0.15502154796039486,0.16406131960279904,0.1684207358327358,0.16171507662879317,0.1479033822003543,0.15408801905051997,0.16506648242291067,0.16554974872392378,0.1578945337879534,0.16123107470174342,0.1650664824229107,0.15970190337286227,0.1460299112167843,0.15310455264668207,0.15534248714292553,0.15098307091298876,0.13427278320308925,0.1460299112167843,0.1536026007813903,0.1465166745792912,0.15882647455019863,0.1512305123911001,0.15836670535027272,0.1703256006109043,0.1703256006109043,0.1732618906816203,0.17373082217991004,0.17032560061090432,0.17418709676828448,0.17373082217991004,0.17373082217991004,0.16986842274610411,0.17373082217991004,0.17373082217991004,0.17373082217991004,0.1776076410299585,0.17806299205840967,0.17806299205840967,0.1776076410299585,0.1703256006109043,0.1776076410299585,0.17665862235417032,0.16939865230141035,0.17278015206267255,0.17373082217991,0.17665862235417035,0.17228545402256185,0.17616464960800524,0.17228545402256185,0.17125655981785215,0.17565749429759783,0.17616464960800524,0.17616464960800524,0.1790320574578835,0.1795519486750637,0.18346111292472023,0.18294184471849595,0.18346111292472023,0.18346111292472023,0.18346111292472023,0.18346111292472023,0.18789016839155692,0.18686646940942525,0.18686646940942525,0.18686646940942525,0.18686646940942525,0.18686646940942525,0.18686646940942525,0.1873850958759315,0.1873850958759315,0.1873850958759315,0.1873850958759315,0.19080604187376557,0.18346111292472023,0.18686646940942525,0.18294184471849592,0.18346111292472023,0.18738509587593147,0.18346111292472023,0.18789016839155692,0.18738509587593147,0.18789016839155692,0.18789016839155692,0.18789016839155692,0.18346111292472023,0.18789016839155692,0.18789016839155692,0.183966898869713,0.1913240075480744,0.18738509587593147,0.18738509587593147,0.1913240075480744,0.1913240075480744,0.18738509587593147,0.18738509587593147,0.18738509587593147,0.18738509587593147,0.18686646940942525,0.1873850958759315,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.191828347033367,0.18789016839155692,0.18789016839155692,0.19231922385839365,0.191828347033367,0.191828347033367,0.19231922385839365,0.19231922385839365,0.19231922385839365,0.19231922385839365,0.19231922385839365,0.19231922385839365,0.19231922385839365,0.19231922385839365,0.18838184906436234,0.18789016839155692,0.183966898869713,0.183966898869713,0.18789016839155692,0.183966898869713,0.183966898869713,0.183966898869713,0.183966898869713,0.183966898869713,0.18789016839155692,0.18789016839155692,0.18789016839155692,0.18346111292472023,0.18346111292472023,0.183966898869713,0.18789016839155692
