,classifier,T0,T1,T2
accuracy,0.7066666666666667,0.7033333333333334,0.6866666666666666,0.7066666666666667
f1,0.8053097345132744,0.8,0.783410138248848,0.8053097345132744
statistical_parity_difference,0.17282219105501012,0.06108773570204143,0.117032881408758,0.17282219105501012
equal_opportunity_difference,0.21601382488479265,0.012096774193548376,0.2091013824884792,0.21601382488479265
average_abs_odds_difference,0.17599452192754908,0.03803941465498825,0.132803201391644,0.17599452192754908
disparate_impact,0.7673294772891223,0.2577950092867514,0.41570760120178113,0.7673294772891223
theil_index,0.2474978908765856,0.23809792147617845,0.23117475981310862,0.2474978908765856
