,classifier,T0,T1,T2,T3,T4,T5,T6,T7
accuracy,0.76,0.7,0.7033333333333334,0.7166666666666667,0.71,0.74,0.7333333333333333,0.78,0.76
f1,0.5384615384615385,0.4078947368421053,0.41830065359477125,0.45859872611464964,0.4727272727272727,0.4935064935064935,0.5180722891566264,0.6024096385542168,0.5384615384615385
statistical_parity_difference,0.01683665209648688,-0.08288813339808965,-0.013436943500080956,-0.010846689331390658,-0.005666180994010062,-0.041120284927958606,-0.06572769953051649,0.03140683179536996,0.01683665209648688
equal_opportunity_difference,0.006249999999999978,-0.06458333333333333,-0.018749999999999933,-0.018749999999999933,-0.01041666666666663,-0.004166666666666652,-0.07499999999999996,0.06458333333333333,0.006249999999999978
average_abs_odds_difference,0.06392164570230607,0.07526860587002093,0.031736984626135556,0.041520352900069835,0.037703092243186576,0.03492749825296995,0.05182564640111806,0.05675008735150244,0.06392164570230607
disparate_impact,0.022443756054300008,-0.11173590118860241,-0.017825018281905584,-0.014637071805718337,-0.007919489292502574,-0.055231427360388295,-0.09402894964827645,0.043631836318257615,0.022443756054300008
theil_index,0.16004156838996564,0.1942295218607911,0.193684334019345,0.19135974138866416,0.20947853799745078,0.17047306932811898,0.19466832419315197,0.16166131559505934,0.16004156838996564
