,classifier,T0,T1,T2,T3,T4,T5,T6,T7
accuracy,0.72,0.7166666666666667,0.6966666666666667,0.71,0.7,0.67,0.7,0.7066666666666667,0.72
f1,0.47500000000000003,0.45161290322580644,0.4276729559748428,0.445859872611465,0.45121951219512196,0.3443708609271523,0.4444444444444445,0.42857142857142855,0.47500000000000003
statistical_parity_difference,0.024708450929229464,0.0010117684647744651,0.01996911443633842,-0.02146014164758503,-0.020235369295489636,0.014005005591352093,0.018211832365940595,-0.003727568028116579,0.024708450929229464
equal_opportunity_difference,0.07551287647315585,0.08642514185945005,0.11807071147970316,0.051942383238760326,0.0364469663902226,0.0473592317765168,0.053688345700567464,-0.0015277171540811763,0.07551287647315585
average_abs_odds_difference,0.03836508096329733,0.09646880951767389,0.12172555659195139,0.07922743020732903,0.052611797254758286,0.03402654224248847,0.03414788557091675,0.030891673549651666,0.03836508096329733
disparate_impact,0.03287346167049642,0.001325103935570317,0.026483663571725175,-0.028527859214110798,-0.027751160145938574,0.01796680498652342,0.024489266215646063,-0.004866866312350756,0.03287346167049642
theil_index,0.18072665470702598,0.1746030019910468,0.19476067366782301,0.18240893127077606,0.20108317776522558,0.1985244640122128,0.19765531170301878,0.1795519486750637,0.18072665470702598
