,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14
accuracy,0.7366666666666667,0.7033333333333334,0.7266666666666667,0.7333333333333333,0.7266666666666667,0.7266666666666667,0.73,0.7233333333333334,0.7333333333333333,0.7166666666666667,0.73,0.7333333333333333,0.75,0.7266666666666667,0.7366666666666667,0.7366666666666667
f1,0.4625850340136054,0.46060606060606063,0.30508474576271183,0.48717948717948717,0.3492063492063492,0.4605263157894737,0.3909774436090226,0.4429530201342282,0.393939393939394,0.4137931034482758,0.40875912408759124,0.4520547945205479,0.4360902255639098,0.4305555555555556,0.4233576642335766,0.4625850340136054
statistical_parity_difference,-0.052380952380952306,-0.09365079365079365,-0.07936507936507942,-0.1523809523809524,-0.15238095238095228,-0.13968253968253974,-0.0714285714285714,-0.042857142857142816,-0.02857142857142858,-0.06190476190476191,-0.03650793650793649,-0.05714285714285705,-0.007936507936507908,-0.03492063492063491,-0.020634920634920673,-0.052380952380952306
equal_opportunity_difference,-0.00380653828929689,-0.055306762203313986,0.00671742051052393,-0.06627854903716979,-0.06224809673085541,-0.049037169726824925,0.004702194357366851,0.01567398119122254,0.021943573667711602,-0.0382892969099865,0.017689207344379843,-0.00380653828929689,0.03269144648454991,-0.00380653828929689,0.034930586654724594,-0.00380653828929689
average_abs_odds_difference,0.0420818405732199,0.08122480967308554,0.11273371025526197,0.16037141737572774,0.17844547693685625,0.15398287057769816,0.08940466860725488,0.05694413345275412,0.04891821540528435,0.04593036274070755,0.05348746081504707,0.051010412001791294,0.027506437527989258,0.019760412001791294,0.053179579041647995,0.0420818405732199
disparate_impact,-0.06609011182898993,-0.12942461067186914,-0.08982695838979347,-0.20585205420414873,-0.18128582392042247,-0.18462305378223398,-0.085522173438162,-0.05439407206579869,-0.03371105734231172,-0.077650934230066,-0.0440262487564904,-0.07188722951331579,-0.009354605167220238,-0.04331385706925985,-0.02478677898245581,-0.06609011182898993
theil_index,0.1352624001840635,0.18686646940942522,0.09431263149123359,0.15206997278741172,0.10726482826963528,0.14980933275076722,0.11663584786761745,0.14699108009409742,0.11299619632185272,0.14457972751162657,0.12314420110228018,0.13573888038232354,0.1045108243009712,0.1366558749681275,0.11905483720517135,0.1352624001840635
