,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139
accuracy,0.9151897709800113,0.9112244072185806,0.9035364570688679,0.9014323865015781,0.9015942380836772,0.9041029376062151,0.9054786760540584,0.9066925629198025,0.907420895039249,0.9076636724123979,0.9113053330096301,0.911952739338027,0.9120336651290767,0.9113053330096301,0.9122764425022255,0.9129238488306223,0.9126810714574735,0.9131666262037711,0.9132475519948208,0.9134094035769199,0.9137331067411184,0.913004774621672,0.9134094035769199,0.9131666262037711,0.9135712551590192,0.913814032532168,0.9138949583232177,0.913814032532168,0.9137331067411184,0.913814032532168,0.9138949583232177,0.9143805130695153,0.914218661487416,0.914218661487416,0.913814032532168,0.913814032532168,0.9139758841142672,0.9140568099053168,0.9136521809500688,0.9137331067411184,0.9146232904426641,0.9151897709800113,0.9153516225621106,0.9155943999352594,0.9150279193979121,0.9150279193979121,0.9155134741442098,0.9155943999352594,0.9151088451889617,0.9151088451889617,0.915270696771061,0.9151897709800113,0.9150279193979121,0.9151088451889617,0.9154325483531601,0.9155134741442098,0.9161608804726066,0.9161608804726066,0.9162418062636563,0.9163227320547058,0.9164845836368051,0.9168892125920531,0.9170510641741523,0.9175366189204499,0.9172938415473011,0.9173747673383508,0.9176175447114996,0.9173747673383508,0.9172938415473011,0.9172938415473011,0.9170510641741523,0.9172938415473011,0.917131989965202,0.9168082868010035,0.9169701383831027,0.9168082868010035,0.9172129157562515,0.9170510641741523,0.9172938415473011,0.9168892125920531,0.9168082868010035,0.917131989965202,0.9169701383831027,0.9169701383831027,0.917131989965202,0.9170510641741523,0.9172938415473011,0.9169701383831027,0.9172129157562515,0.9170510641741523,0.9168082868010035,0.9167273610099539,0.9166464352189042,0.9166464352189042,0.9161608804726066,0.9159990288905074,0.9162418062636563,0.9165655094278546,0.9164845836368051,0.9162418062636563,0.9162418062636563,0.9163227320547058,0.9164036578457554,0.9158371773084082,0.9157562515173586,0.9159990288905074,0.916079954681557,0.916079954681557,0.916079954681557,0.916079954681557,0.9161608804726066,0.9164845836368051,0.9165655094278546,0.9162418062636563,0.9161608804726066,0.9161608804726066,0.9159990288905074,0.9163227320547058,0.9159181030994578,0.9156753257263089,0.9156753257263089,0.9155943999352594,0.9155943999352594,0.9155943999352594,0.9154325483531601,0.9151897709800113,0.915270696771061,0.9158371773084082,0.9158371773084082,0.9155134741442098,0.9159990288905074,0.9157562515173586,0.9158371773084082,0.9156753257263089,0.9155943999352594,0.9156753257263089,0.9157562515173586,0.9151897709800113,0.9153516225621106,0.915270696771061,0.9151897709800113
f1,0.5934833204034135,0.5285775676837129,0.3973710819009101,0.34796573875802994,0.35387885228480337,0.4018172640080767,0.42235410484668645,0.440562833575934,0.4473429951690821,0.45588936576061045,0.5040723981900451,0.5306298533218291,0.5411566061629379,0.5414225941422594,0.5524360033030554,0.5643724696356276,0.5615603413246647,0.5706282513005202,0.574265289912629,0.5800627943485086,0.5813040062843676,0.5772709398348408,0.5787401574803148,0.5777253049980322,0.5815047021943573,0.5758661887694146,0.5777777777777777,0.5772131798332671,0.5766481334392375,0.5795499407816818,0.5750798722044728,0.5804916732751785,0.5810276679841897,0.5823483057525611,0.5758661887694146,0.5775485918286394,0.579009900990099,0.5812302839116719,0.5807465618860511,0.5822884012539186,0.5825089038385437,0.5854430379746837,0.5878644602048857,0.5866032500990883,0.58596214511041,0.5843230403800476,0.5892997639653816,0.5892083497439937,0.5865195112337406,0.5871704053522234,0.5889281507656065,0.5880503144654088,0.5869394177812746,0.5868452146514376,0.5890680298859615,0.5889763779527558,0.5934065934065934,0.5924468922108576,0.593000393236335,0.5935534591194969,0.5949764521193093,0.5983574501368791,0.5997657165169855,0.60210855134713,0.602952602952603,0.6034951456310681,0.6051202482544609,0.6031869413136416,0.6032608695652174,0.6032608695652174,0.6016323357947921,0.602952602952603,0.6021756021756023,0.6015503875968993,0.6026336173508908,0.6015503875968993,0.6039488966318234,0.6031746031746031,0.6057098765432098,0.6030150753768845,0.6018590240123934,0.6037151702786379,0.6032482598607889,0.6029411764705883,0.6027928626842515,0.6016323357947921,0.6032608695652174,0.6010886469673405,0.6021003500583432,0.6010120669521214,0.5996884735202493,0.6003883495145631,0.5995334370139969,0.5992217898832686,0.5972006220839813,0.5967365967365968,0.59837019790454,0.5986765278318412,0.5987558320373251,0.5974329054842473,0.597745821997668,0.5970381917381137,0.5982108129132633,0.5956454121306377,0.5950991831971995,0.5951638065522621,0.5953960202887242,0.5953960202887242,0.5960264900662251,0.5966549980552315,0.5975135975135974,0.5987558320373251,0.5989887203422792,0.59837019790454,0.5981380915438325,0.5984496124031008,0.5967365967365968,0.5973520249221183,0.5958770906262155,0.5951825951825952,0.5945525291828794,0.5946366109599688,0.5943212757681836,0.5940054495912807,0.5925925925925926,0.5915822291504286,0.5921308920919361,0.5965865011636927,0.5962732919254657,0.5950349107835531,0.5967365967365968,0.5960419091967403,0.5972114639814097,0.5964368706429124,0.5958930647036031,0.5970610982211911,0.5969802555168409,0.5937984496124031,0.5945736434108527,0.5943432777993026,0.5934833204034135
statistical_parity_difference,0.13342692042367418,0.10462954635550467,0.09329408637780279,0.07760652523761458,0.07644238088371469,0.09925322928217464,0.10205255179738963,0.10812248185326556,0.1073741033400442,0.10202466659599066,0.09883696100543485,0.0898564188467786,0.09492851088502606,0.09628659555856571,0.09983429658700206,0.10205154692526715,0.10279992543848851,0.09964010504933167,0.0918515924459743,0.10487850342385054,0.10814911096451144,0.10218996806013958,0.10554372876893618,0.10856487680518996,0.1076501919556972,0.10795517064487166,0.10410249092726082,0.10418564409539653,0.10116449605914275,0.09991719853710716,0.10232864041304263,0.10083188338659993,0.10016665804151427,0.11191863751398656,0.11105947184926114,0.11022794016790409,0.11610392990414023,0.11518924505464746,0.1175451677458156,0.11696309556886565,0.1190419247722583,0.1189587716041226,0.11812723992276554,0.11627023624041165,0.11518924505464746,0.11602077673600453,0.11779462725022272,0.11804408675462984,0.11510609188651176,0.11477347921396894,0.11737886140954419,0.11452401970956182,0.11158602484144374,0.11183548434585086,0.11150287167330804,0.11175233117771516,0.12350431065018742,0.12400322965900165,0.12702437769525543,0.12694122452711973,0.1266086118545769,0.12896453454574502,0.12863192187320222,0.12863192187320222,0.13065523189182754,0.1305720787236918,0.1303226192192847,0.12763408385557373,0.12738462435116663,0.1304889255555561,0.1307383850599632,0.13375953309621702,0.13375953309621702,0.13326061408740275,0.13309430775113135,0.13015631288301327,0.13301115458299567,0.12990685337860616,0.1322627760697743,0.13267854191045284,0.12999000654674187,0.12982370021047046,0.12655309266980957,0.12671939900608098,0.1272183180148952,0.12763408385557373,0.12738462435116663,0.12461293581931997,0.12469608898745567,0.12486239532372709,0.12494554849186279,0.12746777751930233,0.12771723702370946,0.12167494095120189,0.12461293581931997,0.12444662948304855,0.12419716997864143,0.12486239532372709,0.13082153822809894,0.12469608898745567,0.12452978265118425,0.1251118548281342,0.12469608898745567,0.12461293581931997,0.12780039019184514,0.12838246236879508,0.1284656155369308,0.1284656155369308,0.12813300286438797,0.12780039019184514,0.12755093068743803,0.12461293581931997,0.12469608898745567,0.12109286877425195,0.11790541440172679,0.12084340926984483,0.11823802707426961,0.12494554849186279,0.12159178778306619,0.12134232827865907,0.12167494095120189,0.12142548144679477,0.12159178778306619,0.12175809411933759,0.12209070679188042,0.12200755362374471,0.12192440045560901,0.12100971560611624,0.12117602194238765,0.12411401681050573,0.12134232827865907,0.12109286877425195,0.12688570534235238,0.12688570534235238,0.12696885851048811,0.12655309266980957,0.12990685337860616,0.1270520116786238,0.13326061408740275,0.13628176212365656,0.13342692042367418
equal_opportunity_difference,0.08042641771273573,0.10304493966892253,0.14112696109794448,0.08961800830847699,0.08363446305791605,0.1373872453163439,0.14128916563786936,0.13389083634463056,0.13995548386515394,0.12873633652035216,0.08244496309846716,0.03906426003190022,0.03241387389498157,0.0407223508844653,0.03706373737282709,0.028917464923268243,0.058997395715997825,0.02974651034955078,0.022267078786349592,0.06148453199484549,0.060736588838525396,0.03963197592163714,0.038884032765317045,0.052428111849041725,0.04644456659848073,0.04785935064115854,0.044119634859557944,0.04486757801587804,0.04561552117219814,0.03963197592163714,0.037307044182714355,0.041127862234277446,0.038884032765317045,0.04868839606744113,0.04785935064115854,0.044119634859557944,0.06746807724540638,0.06298041830748569,0.06148453199484549,0.058492759369564995,0.06372836146380578,0.060736588838525396,0.056248929900604594,0.060736588838525396,0.058492759369564995,0.06223247515116559,0.06680123635904878,0.06754917951536887,0.0577448162132449,0.056248929900604594,0.06605329320272868,0.0547530435879644,0.04345279397320023,0.04420073712952033,0.04120896450423994,0.04195690766056004,0.08715790611961682,0.08940173558857722,0.1014499283596616,0.1007019852033414,0.0984581557343811,0.10601868956754457,0.10377486009858428,0.10153103062962388,0.11058745077542775,0.10983950761910766,0.10759567815014737,0.11058745077542775,0.10983950761910766,0.10983950761910766,0.11208333708806806,0.11058745077542775,0.11133539393174796,0.11058745077542775,0.10909156446278756,0.09779131484802328,0.10759567815014737,0.10834362130646746,0.10385596236854677,0.10759567815014737,0.09704337169170318,0.09479954222274278,0.08200340629533842,0.08275134945165852,0.08424723576429882,0.08649106523325911,0.08424723576429882,0.07444287246217474,0.07369492930585464,0.08798695154589942,0.08948283785853961,0.08723900838957932,0.08873489470221951,0.07668670193113514,0.07818258824377533,0.07818258824377533,0.07593875877481504,0.07743464508745523,0.08948283785853961,0.09097872417117991,0.0902307810148597,0.09247461048382011,0.0902307810148597,0.07967847455641563,0.0932225536401402,0.09471843995278051,0.10751457588018487,0.10751457588018487,0.10601868956754457,0.10452280325490437,0.10302691694226418,0.10227897378594397,0.10227897378594397,0.08873489470221951,0.07593875877481504,0.07519081561849494,0.07818258824377533,0.09172666732750001,0.07967847455641563,0.07967847455641563,0.08117436086905583,0.08042641771273573,0.08117436086905583,0.08192230402537592,0.08416613349433633,0.08491407665065642,0.08416613349433633,0.07743464508745523,0.07818258824377533,0.07893053140009554,0.07818258824377533,0.07818258824377533,0.07593875877481504,0.07668670193113514,0.07743464508745523,0.07519081561849494,0.08873489470221951,0.07967847455641563,0.09172666732750001,0.09172666732750001,0.08042641771273573
average_abs_odds_difference,0.06927666420238231,0.06674425345886863,0.08553723258226544,0.06174739272977138,0.05847495774131381,0.08788674099809933,0.08927637643250788,0.08914169924510944,0.09011111691258356,0.08187731242104088,0.05920411174488241,0.035174907185123123,0.03480609978900105,0.03825868237580017,0.03802451110747348,0.035078739764891315,0.04613322415726949,0.032822254598361286,0.02453573308641989,0.04555248693604219,0.04738175263225827,0.03668911499222559,0.03856515774897119,0.0452436431697745,0.04211153936290546,0.04384802671589372,0.03972815449018777,0.040102126068347815,0.03841319155372029,0.035093979504733176,0.03669607563600211,0.03626291620581898,0.03490711616869119,0.045810907855997916,0.0459109328086813,0.043807189615233416,0.05543463374762812,0.052956918976020194,0.05394444248878106,0.05230822499455226,0.05576801313120395,0.054412458000152306,0.05198152028907384,0.05258343721001231,0.05099375187023694,0.05309749506368482,0.05514799036497883,0.055615516064197915,0.050619780292076894,0.04977828301469771,0.05458691054470072,0.0489835627978481,0.04333343799046602,0.0438009636896851,0.042305077377044906,0.04277260307626399,0.06537310230579238,0.06663534822186112,0.07265944460740331,0.07228547302924321,0.07111678123423354,0.07480349402975625,0.07363480223474658,0.07265321868185493,0.07680721227052074,0.0764332406923607,0.07531132595788055,0.07479108323826268,0.0743235575390436,0.07638646363183119,0.07750837836631139,0.07887011836330832,0.07919731288093891,0.07858945600013123,0.07784151284381113,0.072191388036429,0.07714034674802055,0.0754046351728635,0.07508338061510218,0.07695323850590248,0.07177063939773942,0.07069550172378875,0.06420387963902752,0.06462462827771709,0.06555967967615531,0.06677514853169449,0.06565323379721434,0.0607510521461523,0.060470634689051284,0.06555373971628609,0.06625490581207667,0.06700878892826603,0.06780350914511565,0.0597632837273154,0.06238702473430501,0.06229347061324598,0.06117155587876583,0.06220016139826303,0.07019360975553376,0.06676896366574925,0.06634821502705962,0.06765723800365789,0.06644176914811865,0.06304141376956612,0.06981345331142841,0.07079528177039615,0.07517722070184027,0.07517722070184027,0.07433572342446108,0.07349422614708195,0.07269950593023233,0.07040295944087321,0.07044973650140272,0.06344381165689292,0.05699896663266116,0.05864112408675917,0.058167658427670826,0.06723648936496832,0.06102528473730807,0.06088495355571952,0.06172645083309865,0.061258925133879566,0.06167967377256914,0.062100422411258696,0.0632691142062684,0.06354953166336944,0.06317556008520939,0.05971626176070981,0.060137010399399365,0.0624335568887585,0.0602305645204584,0.060090233338869856,0.06300057666890584,0.06332777118653636,0.06370174276469641,0.06248627390915723,0.06935186757207855,0.06473010337811758,0.07286388291697687,0.07488001194923494,0.06927666420238231
disparate_impact,0.9083597874270293,0.9090917004575231,1.1590945208220014,1.185032574370441,1.1515366199422588,1.2006322124773448,1.1691701728107429,1.1655254111522917,1.1503608408532466,1.0851831378466783,0.9604118975852363,0.8236631624173989,0.8234729860811014,0.8190232634620327,0.8211790374947129,0.8068874087730501,0.8160291687311448,0.7779865432852942,0.7242313290289432,0.7818002896805332,0.8001280075041051,0.7698184155078708,0.7893474953159162,0.8048516818518814,0.7944888948163348,0.8171937496535646,0.7917553943844563,0.7927201797945556,0.7767198384481142,0.7623448903905915,0.7903254905038929,0.7728662691321244,0.765203396386555,0.8239142249512214,0.8336721203873733,0.8239727232986599,0.8523494318875832,0.8418078872171201,0.8490255955283202,0.842424911496968,0.8662015902993304,0.8652395892631395,0.8556701382469888,0.8542780727939888,0.8418078872171201,0.8513865045141898,0.8518678522972503,0.8547182105216068,0.8408550524618481,0.8370527665121095,0.8471352357971514,0.8342105097431796,0.8201191539826699,0.8229641061149012,0.8191726323786389,0.822014889147569,0.8770675058535654,0.8827547249741547,0.8969393599661113,0.8959892411297908,0.8921977673935289,0.8986439170949809,0.8948950842134611,0.8948950842134611,0.897525499731634,0.8966008579644154,0.8938320513962823,0.8837321775992981,0.8809608132389147,0.8956770703698516,0.8984509972525768,0.9120566493083554,0.9120566493083554,0.9065164689327401,0.9046765420107329,0.8919904302496328,0.9037578464936604,0.8892343421476527,0.8955273473571448,0.9000914812500823,0.8901521944378818,0.8883173315377714,0.8717780122565799,0.8736078389336561,0.8791174947446255,0.8837321775992981,0.8809608132389147,0.8697459356245583,0.870671433145501,0.872525001794824,0.8734530761073779,0.8818837482375157,0.8846576751202411,0.8564867981535447,0.8697459356245583,0.8678975062627758,0.8651312527698857,0.872525001794824,0.8993773521127074,0.870671433145501,0.8688212938573396,0.8753118127020032,0.870671433145501,0.8697459356245583,0.8855840299803717,0.892092653607759,0.8930259247907575,0.8930259247907575,0.8892980546767432,0.8855840299803717,0.8828075358320794,0.8697459356245583,0.870671433145501,0.8500262311506005,0.83379925788675,0.8472701430486205,0.8374791148451506,0.8734530761073779,0.8555613006326017,0.8527899362722184,0.8564867981535447,0.8537128712708194,0.8555613006326017,0.8574131530136754,0.8611271777100468,0.8601973775500803,0.8592684411154216,0.8491066908559222,0.8509466177779292,0.864210866142557,0.8527899362722184,0.8500262311506005,0.875441020015317,0.875441020015317,0.876358872305546,0.8717780122565799,0.8892343421476527,0.8772775678226183,0.9065164689327401,0.9199394892648808,0.9083597874270293
theil_index,0.06647509779632717,0.07657876377860595,0.09220950802824673,0.09690309783584068,0.09638546318107664,0.09170223049744951,0.0895145852439521,0.08750644434617155,0.08671201856897512,0.08576488799558586,0.07987266646532556,0.07631070527920962,0.07478428925607397,0.0747021103556043,0.07307857357410678,0.07122436043770318,0.07165892020397384,0.07020928621161586,0.06959934418074133,0.0686109388598645,0.06843936835554208,0.0690439777049076,0.06884397735530932,0.0689873079720229,0.06837950656424083,0.06939949992793905,0.06908049058942191,0.06916713079265605,0.06925377849039153,0.06876016558492772,0.0695450521842337,0.06867693207799021,0.06855972194292084,0.0683272292259111,0.06939949992793905,0.06910901773660716,0.06887764515443934,0.06850038131734333,0.06852594754063665,0.06826464250250251,0.0683591164165049,0.06792726688395427,0.06752224701704844,0.0677843483847772,0.06781028207510327,0.06810035850103181,0.06729125892444882,0.06732076104400024,0.06772375953886155,0.06760768180404823,0.0673185916414497,0.06746313170394064,0.0676361368648551,0.067665724803403,0.06731973098709679,0.06734925837923247,0.06665760242065702,0.06683142167057374,0.06674498208115986,0.06665854995053384,0.06642779813369144,0.0658800599029126,0.06564945756054662,0.06530512215043238,0.06510094356846155,0.06501465668741853,0.06475584063082089,0.06507257333672488,0.06504301333863202,0.06504301333863204,0.06530190242872154,0.06510094356846155,0.06521559863099731,0.06527092290387243,0.06509833205052454,0.06527092290387243,0.06489747799116936,0.06501204777308009,0.06457927740716975,0.06501058072203603,0.06521291130179488,0.06492577092675103,0.06498232228876917,0.06504033124086722,0.06509969206392216,0.06530190242872155,0.06504301333863202,0.06538821366251278,0.06524516529838839,0.06541778700199805,0.06561882099708445,0.06547323900998549,0.06561756172457249,0.06567555144921426,0.06596158381766205,0.06601818406874763,0.06575911819233853,0.06576189448862386,0.06573223575560234,0.06593326640417257,0.06587522515871323,0.06602096826852,0.06581858288654188,0.06619093187972176,0.06627731695706468,0.06630847132046622,0.06628010906783133,0.06628010906783133,0.06616404585646585,0.06604794992180328,0.06590352900621187,0.06573223575560234,0.06570389936891118,0.06575911819233853,0.06578739493012464,0.06572931568261754,0.06601818406874763,0.06596295695764379,0.06616263343943397,0.06624749419381915,0.06636370948402184,0.06633388334270658,0.06639200047469537,0.06645010946187552,0.06668104343771367,0.06682408508783964,0.06673765325514174,0.06601662921885881,0.06607473824147492,0.06624586350759298,0.06601818406874763,0.06610299805701189,0.06590038680941693,0.06601496606068728,0.0661013335379257,0.06589865335453463,0.06592860602836598,0.0664169048507352,0.06630230665604893,0.0663305109823165,0.06647509779632717
