,classifier,0,1,2
accuracy,0.992943361,0.855106778,0.992014856,0.992943361
f1,0.993173448,0.871166151,0.992280072,0.993173448
statistical_parity_difference,0.249231158,0.21101633,0.244318876,0.249231158
equal_opportunity_difference,0.000678097,-0.009704363,-0.004816884,0.000678097
average_abs_odds_difference,0.013738227,0.092419168,0.014976406,0.013738227
disparate_impact,0.398805728,0.300798246,0.391744419,0.398805728
theil_index,0.002886408,0.060114509,0.003321254,0.002886408
