,classifier,0,1,2,3,4,5,6
accuracy,0.936669875,0.932627526,0.932820019,0.933397498,0.934359962,0.935033686,0.937151107,0.936669875
f1,0.538569425,0.464831804,0.488269795,0.491176471,0.512160229,0.518888097,0.541754386,0.538569425
statistical_parity_difference,0.132355866,0.107676544,0.106187348,0.114653313,0.1109043,0.106375343,0.112276193,0.132355866
equal_opportunity_difference,0.180834379,0.192858637,0.200648264,0.243569636,0.169280636,0.161752405,0.15623693,0.180834379
average_abs_odds_difference,0.122042319,0.11768531,0.11765385,0.13938223,0.106449632,0.100258332,0.099981318,0.122042319
disparate_impact,1.256266218,1.272011446,1.176289997,1.2388792,1.161761897,1.125418667,1.136325513,1.256266218
theil_index,0.052707606,0.059483493,0.057500205,0.057218915,0.055276811,0.054631321,0.052398277,0.052707606
