,classifier,T0,T1,T2,T3
accuracy,0.73,0.7366666666666667,0.6566666666666666,0.6933333333333334,0.73
f1,0.4774193548387096,0.4697986577181208,0.430939226519337,0.4177215189873418,0.4774193548387096
statistical_parity_difference,-0.10999999999999999,-0.09499999999999997,-0.06999999999999995,-0.08000000000000007,-0.10999999999999999
equal_opportunity_difference,-0.05456349206349209,-0.03670634920634919,-0.024801587301587324,-0.005952380952380931,-0.05456349206349209
average_abs_odds_difference,0.10088213213213215,0.08736861861861861,0.06814403689403692,0.08984877734877733,0.10088213213213215
disparate_impact,-0.1421744887805426,-0.11926342082681775,-0.10080469912196552,-0.10398971352404775,-0.1421744887805426
theil_index,0.13620332653809247,0.12229026520874633,0.22891297837821278,0.16435929818423253,0.13620332653809247
