,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8
accuracy,0.6933333333333334,0.6933333333333334,0.6966666666666667,0.6833333333333333,0.67,0.6666666666666666,0.67,0.7033333333333334,0.6933333333333334,0.6933333333333334
f1,0.4025974025974026,0.30303030303030304,0.31578947368421056,0.27480916030534347,0.36942675159235666,0.38271604938271603,0.36129032258064514,0.37762237762237766,0.3866666666666667,0.4025974025974026
statistical_parity_difference,-0.2026440818012808,-0.18549886387110104,-0.14965916133030366,-0.1283825655856229,-0.14160297459202642,-0.16380913034497002,-0.1668043792604833,-0.1475934724230531,-0.17558355711629836,-0.2026440818012808
equal_opportunity_difference,-0.18834768250973,-0.07878287533907302,-0.05519518811180568,-0.1187640051892912,-0.10520108503361247,-0.13079372567519765,-0.11239532963792898,-0.09718127137634158,-0.13197311003656087,-0.18834768250973
average_abs_odds_difference,0.20204358345296541,0.2293507321064429,0.1874800002069657,0.12858145985380431,0.15278145613055566,0.17326660503569924,0.18645546671855745,0.16369692243624856,0.1887816703507092,0.20204358345296541
disparate_impact,-0.2605422171975464,-0.2168671536948847,-0.17404370918113857,-0.14737546209897742,-0.18120998912760852,-0.21559082933527993,-0.21314967729475218,-0.17848541015230862,-0.22021214693087773,-0.2605422171975464
theil_index,0.13380124560215445,0.09706787586115947,0.09683276428138919,0.10105124419787175,0.15301091856755628,0.16373749904676937,0.1495516634237751,0.10951864907194576,0.12706903342849085,0.13380124560215445
