iter	Logloss
0	0.6887774425
1	0.6843435118
2	0.6788149369
3	0.6737469748
4	0.6695485267
5	0.6649800103
6	0.6603103918
7	0.6568396596
8	0.6518089424
9	0.6470144097
10	0.6422971809
11	0.6390888215
12	0.6356626647
13	0.6313570767
14	0.6275970787
15	0.6235826702
16	0.6202827903
17	0.6166451468
18	0.6134545223
19	0.6096386708
20	0.606235472
21	0.6028825398
22	0.5990130026
23	0.5961783333
24	0.5929191673
25	0.5900244823
26	0.5875603333
27	0.5842691619
28	0.5818468796
29	0.5786534654
30	0.5764894842
31	0.5731158609
32	0.5704038959
33	0.5671404815
34	0.5642039443
35	0.5625443799
36	0.5601138937
37	0.5584693803
38	0.5556325729
39	0.5530188458
40	0.5507473101
41	0.5485626936
42	0.5462089294
43	0.5438204362
44	0.5419577585
45	0.5391400268
46	0.5378233307
47	0.5355205901
48	0.5329420547
49	0.5302108738
50	0.5276923743
51	0.5248332511
52	0.5221940388
53	0.5199670884
54	0.5170525553
55	0.5147270194
56	0.5126865819
57	0.5101649252
58	0.5080540896
59	0.5060045972
60	0.5038824349
61	0.5022149542
62	0.5010325219
63	0.4991475721
64	0.4975472523
65	0.4958683226
66	0.4939229603
67	0.4921697607
68	0.4908324824
69	0.4892486954
70	0.48807042
71	0.4864330842
72	0.4854876503
73	0.4840323419
74	0.4824752708
75	0.4812066449
76	0.4796518222
77	0.478275955
78	0.4765550826
79	0.4748788231
80	0.473820035
81	0.4727466067
82	0.4716777049
83	0.470019324
84	0.4690846528
85	0.4678470613
86	0.466142125
87	0.4651385104
88	0.4639848926
89	0.4633822349
90	0.4625571462
91	0.4613811401
92	0.4602700522
93	0.4596641838
94	0.4579441765
95	0.4565469141
96	0.4554931231
97	0.4542926693
98	0.4532024065
99	0.4519537556
100	0.4505275691
101	0.449637027
102	0.4486551075
103	0.44782149
104	0.4467476943
105	0.4454148814
106	0.4442927794
107	0.4434612703
108	0.4427000566
109	0.4419512359
110	0.4413209779
111	0.4403645978
112	0.4394284181
113	0.4385454616
114	0.4373779106
115	0.436088068
116	0.4350426176
117	0.4343635721
118	0.4338659433
119	0.4328902907
120	0.4316832914
121	0.4308331686
122	0.430135859
123	0.4294514627
124	0.4285449616
125	0.4278226661
126	0.4269327114
127	0.4262393414
128	0.4249670995
129	0.4241754335
130	0.4234724723
131	0.4226181796
132	0.421457971
133	0.420883635
134	0.4199791002
135	0.4191866248
136	0.4183811332
137	0.4175967628
138	0.4168406395
139	0.4164361022
140	0.415972778
141	0.4155559017
142	0.414812115
143	0.41437661
144	0.4137696563
145	0.4130326744
146	0.4122155102
147	0.4113762216
148	0.4107513777
149	0.4102932769
150	0.409940732
151	0.4091327979
152	0.408339876
153	0.4078514965
154	0.40736888
155	0.4069680367
156	0.4062383239
157	0.4057666978
158	0.4053361101
159	0.4044445693
160	0.4041218524
161	0.4037815643
162	0.4031258532
163	0.4025436654
164	0.402145562
165	0.401613573
166	0.4014583458
167	0.4008414569
168	0.4007287111
169	0.4003947214
170	0.3999520485
171	0.399540379
172	0.3991526991
173	0.3985258831
174	0.3980412629
175	0.3976026661
176	0.3968188072
177	0.396266044
178	0.3960762294
179	0.3953942519
180	0.3950393673
