iter	Passed	Remaining
473	722	802
474	724	800
475	725	799
476	727	797
477	728	796
478	730	794
479	731	792
480	733	791
481	734	789
482	736	788
483	737	786
484	739	785
485	740	783
486	742	782
487	743	780
488	745	779
489	746	777
490	748	775
491	749	774
492	751	772
493	752	770
494	754	769
495	755	767
496	757	766
497	758	764
498	760	763
499	761	761
500	763	760
501	765	758
502	766	757
503	768	756
504	770	755
505	771	753
506	773	752
507	774	750
508	776	748
509	777	747
510	779	745
511	781	744
512	782	743
513	784	741
514	785	740
515	787	738
516	788	737
517	790	735
518	792	734
519	792	731
520	794	730
521	795	728
522	797	727
523	799	725
524	800	724
525	802	722
526	803	721
527	805	719
528	806	718
529	808	716
530	809	715
531	811	713
532	812	712
533	814	710
534	815	709
535	817	707
536	818	705
537	819	703
538	821	702
539	822	700
540	824	699
541	825	697
542	827	696
543	828	694
544	830	693
545	831	691
546	833	690
547	834	688
548	836	687
549	837	685
550	839	683
551	840	682
552	842	680
553	843	679
554	845	677
555	846	676
556	848	674
557	850	673
558	851	671
559	853	670
560	854	668
561	856	667
562	857	665
563	859	664
564	860	662
565	862	661
566	863	659
567	865	658
568	866	656
569	868	654
570	869	653
571	870	651
572	872	650
573	873	648
574	875	647
575	877	645
576	878	644
577	880	642
578	881	641
579	883	639
580	883	637
581	885	635
582	886	634
583	888	632
584	889	631
585	891	629
586	893	628
587	894	626
588	895	625
589	897	623
590	898	622
591	899	620
592	901	618
593	902	617
594	904	615
595	905	614
596	907	612
597	908	611
598	910	609
599	912	608
600	913	606
601	915	605
602	916	603
603	918	602
604	919	600
605	921	598
606	922	597
607	924	595
608	925	594
609	927	592
610	928	591
611	930	589
612	931	587
613	932	586
614	934	584
615	935	583
616	937	581
617	938	580
618	940	578
619	941	577
620	943	575
621	944	574
622	946	572
623	947	571
624	949	569
625	950	568
626	952	566
627	953	565
628	955	563
629	956	562
630	958	560
631	959	558
632	961	557
633	962	555
634	964	554
635	965	552
636	967	551
637	968	549
638	970	548
639	971	546
640	973	545
641	974	543
642	976	542
643	978	540
644	979	539
645	980	537
646	982	535
647	983	534
648	985	532
649	986	531
650	987	529
651	989	528
652	991	526
653	992	525
654	994	523
655	995	522
656	997	520
657	998	519
658	1000	517
659	1001	516
660	1003	514
661	1004	512
662	1006	511
663	1007	509
664	1008	508
665	1010	506
666	1011	505
667	1013	503
668	1014	502
669	1016	500
670	1017	499
671	1019	497
672	1021	496
673	1022	494
