,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
accuracy,0.7,0.6833333333333333,0.5833333333333334,0.6833333333333333,0.6466666666666666,0.66,0.67,0.66,0.65,0.7066666666666667,0.6633333333333333,0.7,0.6966666666666667,0.7,0.6866666666666666,0.69,0.66,0.7033333333333334,0.6766666666666666,0.7066666666666667,0.7066666666666667,0.69,0.6933333333333334,0.7,0.6966666666666667,0.7066666666666667,0.69,0.69,0.7033333333333334,0.7
f1,0.8060344827586207,0.7732696897374701,0.6736292428198433,0.7865168539325842,0.7376237623762376,0.7763157894736842,0.7703016241299303,0.7733333333333332,0.7586206896551724,0.8070175438596492,0.7699316628701594,0.8051948051948051,0.7982261640798226,0.8051948051948051,0.7965367965367965,0.7964989059080964,0.7713004484304932,0.8077753779697624,0.7849223946784922,0.8111587982832618,0.8061674008810573,0.7982646420824294,0.7973568281938326,0.8085106382978723,0.8017429193899782,0.8103448275862069,0.7982646420824294,0.7991360691144709,0.8086021505376344,0.8060344827586207
statistical_parity_difference,-0.09874336190125665,-0.13581155686418844,-0.16862085283137918,-0.19711867080288137,-0.17445712182554285,-0.09201324990798676,-0.22477522477522482,-0.15794731584205268,-0.03885588096114412,-0.07623954992376047,-0.16841053683158946,-0.0891739839108261,-0.13118460486881545,-0.15226878384773124,-0.10494768389505227,-0.15989273884010724,-0.04416635995583362,-0.15705347284294646,-0.09963720490036276,-0.10831273989168733,-0.17708607182291392,-0.10016299489983704,-0.14553867185446134,-0.09590409590409588,-0.12214101687785905,-0.0514222619485778,-0.1632577948367422,-0.09395867290604132,-0.0877543509122456,-0.09874336190125665
equal_opportunity_difference,-0.06360671015843433,-0.15866728797763274,-0.1516775396085741,-0.15051258154706426,-0.16682199440820134,-0.04403541472506989,-0.13769804287045673,-0.11975768872320602,-0.03494874184529362,-0.09133271202236726,-0.2059645852749301,-0.08084808946877908,-0.08830382106244183,-0.1288443616029823,-0.09133271202236726,-0.12581547064305687,-0.010251630941286116,-0.11160298229263743,-0.04403541472506989,-0.10111835973904937,-0.13257222739981356,-0.04333643988816405,-0.11905871388630007,-0.03588070829450141,-0.09133271202236726,-0.07036346691519113,-0.11533084808946881,-0.09808946877912395,-0.04636533084808947,-0.06360671015843433
average_abs_odds_difference,0.10010936600817893,0.10044641100322271,0.16575431873622942,0.2029264348371188,0.15817503098452787,0.10671716091444755,0.24892850479340023,0.16668460690507048,0.0284033326712807,0.049640523919777746,0.1372594908490895,0.07718509788888528,0.13332230298030184,0.14787970688196805,0.0988208517886302,0.16151677655352048,0.04884166246517857,0.16260725368978618,0.11243002728305157,0.09551695433549584,0.17880474261197832,0.11332246733603435,0.14174495555219124,0.11083652901063867,0.12092716078018512,0.045117153229080886,0.1726679078996773,0.07885099370401799,0.0914886763530065,0.10010936600817893
disparate_impact,-0.11760580924918501,-0.19941936916519787,-0.305164938809388,-0.26156649817069344,-0.2806512623868715,-0.11298686339289037,-0.3212047644904245,-0.20259902208257757,-0.051428970393457035,-0.09323118335147869,-0.22747228682771733,-0.10679489314496948,-0.1662563183663685,-0.1854595122058816,-0.1262012025890484,-0.19922633760393826,-0.05582844955294184,-0.1907645644355746,-0.12516728194976146,-0.12830109836593304,-0.22457792880135274,-0.12078113511970923,-0.18287719960240884,-0.11148423350835539,-0.14935450756376534,-0.06052329385714956,-0.20027459799102215,-0.11221496061430854,-0.10381248711684905,-0.11760580924918501
theil_index,0.11977317303399102,0.2072311844537413,0.347206566447182,0.16207493696306344,0.2596602603840652,0.15732537647394224,0.19499064242331135,0.16783896165363296,0.2008138638535847,0.1291158981953398,0.18514597076712191,0.12310819239671976,0.14359102058782425,0.12310819239671976,0.131029874460262,0.13749692984881953,0.17488105220690361,0.119465212097436,0.15585911227915075,0.11252765089957989,0.13244873605205473,0.13073605285352236,0.1405557206200073,0.10980195396184689,0.1301185330876486,0.11583483678080952,0.13073605285352236,0.1273643252662103,0.11614416174418532,0.11977317303399102
